Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 604, San Francisco County, California",1400000US06075060400,2144,254,1394,202,86,102,0,13,363,145,0,13,195,216,106,79,0,13,106,79
"Census Tract 605.02, San Francisco County, California",1400000US06075060502,2863,333,436,197,914,232,44,56,712,250,331,163,268,159,158,94,56,84,102,64
"Census Tract 607, San Francisco County, California",1400000US06075060700,8372,754,3897,596,128,85,0,18,3707,623,0,18,492,124,148,79,0,18,148,79
"Census Tract 610, San Francisco County, California",1400000US06075061000,3888,509,865,234,743,323,12,20,1682,398,146,142,172,247,268,292,9,14,259,291
"Census Tract 611, San Francisco County, California",1400000US06075061100,4543,314,286,101,11,16,0,13,4076,353,31,50,110,177,29,27,8,12,21,24
"Census Tract 612, San Francisco County, California",1400000US06075061200,3713,435,858,301,907,235,61,98,894,209,0,13,895,487,98,69,0,13,98,69
"Census Tract 614, San Francisco County, California",1400000US06075061400,5301,535,3448,478,350,195,296,365,623,243,174,147,164,128,246,135,0,18,246,135
"Census Tract 615, San Francisco County, California",1400000US06075061500,11083,1049,6769,1032,261,120,66,100,3422,594,25,41,191,129,349,251,126,197,223,149
"Census Tract 9802, San Francisco County, California",1400000US06075980200,308,99,213,79,20,26,0,13,44,43,0,13,12,21,19,21,3,6,16,20
"Census Tract 9803, San Francisco County, California",1400000US06075980300,27,20,16,21,0,13,0,13,0,13,0,13,0,13,11,16,0,13,11,16
"Census Tract 9804.01, San Francisco County, California",1400000US06075980401,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
"Census Tract 9805.01, San Francisco County, California",1400000US06075980501,646,200,106,57,131,89,0,13,292,128,44,69,0,13,73,60,15,35,58,50
"Census Tract 9806, San Francisco County, California",1400000US06075980600,288,106,82,51,169,111,0,13,28,39,0,13,0,13,9,13,0,13,9,13
"Census Tract 9809, San Francisco County, California",1400000US06075980900,337,141,193,131,36,34,0,13,98,110,4,7,0,13,6,9,0,13,6,9
"Census Tract 9901, San Francisco County, California",1400000US06075990100,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
"Census Tract 101, San Francisco County, California",1400000US06075010100,3598,237,1704,268,107,91,12,19,1514,331,0,13,7,12,254,181,29,42,225,176
"Census Tract 102, San Francisco County, California",1400000US06075010200,4040,276,3330,265,45,53,0,13,354,104,0,13,64,61,247,123,75,58,172,115
"Census Tract 103, San Francisco County, California",1400000US06075010300,4393,494,2849,446,0,13,0,13,1544,362,0,13,0,13,0,13,0,13,0,13
"Census Tract 104, San Francisco County, California",1400000US06075010400,4749,496,3061,307,1,5,0,13,1373,423,0,13,161,129,153,101,0,13,153,101
"Census Tract 105, San Francisco County, California",1400000US06075010500,2504,250,1714,215,38,36,0,13,537,130,16,29,67,85,132,63,0,13,132,63
"Census Tract 106, San Francisco County, California",1400000US06075010600,3942,529,1301,202,81,82,0,13,2285,543,0,13,64,59,211,191,132,176,79,77
"Census Tract 107, San Francisco County, California",1400000US06075010700,5555,568,991,335,162,215,10,17,4290,561,0,18,37,50,65,73,65,73,0,18
"Census Tract 108, San Francisco County, California",1400000US06075010800,4811,465,2270,287,74,87,23,27,2354,420,0,13,21,35,69,62,0,13,69,62
"Census Tract 109, San Francisco County, California",1400000US06075010900,4772,351,3401,327,62,50,97,130,1018,252,0,13,122,112,72,57,0,13,72,57
"Census Tract 110, San Francisco County, California",1400000US06075011000,5256,429,2422,397,84,86,0,18,2547,294,0,18,76,103,127,89,28,38,99,76
"Census Tract 111, San Francisco County, California",1400000US06075011100,5008,426,2287,395,403,299,22,35,1819,219,0,18,182,148,295,218,161,199,134,96
"Census Tract 112, San Francisco County, California",1400000US06075011200,3170,340,1756,331,0,13,1,3,1224,208,31,38,16,25,142,77,48,62,94,68
"Census Tract 113, San Francisco County, California",1400000US06075011300,3267,385,469,152,32,43,18,23,2663,374,4,8,0,13,81,64,7,12,74,64
"Census Tract 117, San Francisco County, California",1400000US06075011700,1396,194,730,131,117,80,0,13,486,151,0,13,2,6,61,60,0,13,61,60
"Census Tract 118, San Francisco County, California",1400000US06075011800,1635,180,97,43,5,6,10,16,1482,187,0,13,32,52,9,11,0,13,9,11
"Census Tract 119.01, San Francisco County, California",1400000US06075011901,2254,258,1350,251,143,127,0,13,652,186,0,13,56,35,53,54,0,13,53,54
"Census Tract 119.02, San Francisco County, California",1400000US06075011902,2844,306,1664,271,21,39,47,54,821,213,20,29,46,55,225,130,12,21,213,124
"Census Tract 120, San Francisco County, California",1400000US06075012000,3502,263,2037,279,237,142,0,13,888,238,0,13,157,95,183,104,30,33,153,101
"Census Tract 121, San Francisco County, California",1400000US06075012100,3530,333,2060,318,114,87,20,22,959,189,13,21,107,94,257,148,0,13,257,148
"Census Tract 122.01, San Francisco County, California",1400000US06075012201,4469,415,2048,359,315,186,0,13,1555,342,0,13,382,233,169,133,18,32,151,128
"Census Tract 122.02, San Francisco County, California",1400000US06075012202,2598,396,1200,244,425,249,14,22,822,259,0,13,22,25,115,88,51,68,64,59
"Census Tract 123.01, San Francisco County, California",1400000US06075012301,1974,286,684,172,289,124,0,13,770,241,0,13,171,150,60,56,0,13,60,56
"Census Tract 123.02, San Francisco County, California",1400000US06075012302,2306,249,1106,272,211,125,23,32,930,260,0,13,27,28,9,11,0,13,9,11
"Census Tract 124.01, San Francisco County, California",1400000US06075012401,4081,655,1776,467,124,94,23,30,919,274,14,23,991,522,234,305,179,308,55,52
"Census Tract 124.02, San Francisco County, California",1400000US06075012402,3194,413,1439,305,269,198,0,13,1166,369,3,7,177,103,140,78,16,24,124,77
"Census Tract 125.01, San Francisco County, California",1400000US06075012501,3358,333,1410,312,326,177,76,63,1065,270,2,4,280,171,199,129,15,23,184,122
"Census Tract 125.02, San Francisco County, California",1400000US06075012502,3895,761,834,221,658,251,55,73,1892,518,0,13,389,458,67,61,0,13,67,61
"Census Tract 126.01, San Francisco County, California",1400000US06075012601,2272,290,1919,284,0,13,31,44,270,180,0,13,0,13,52,56,9,14,43,54
"Census Tract 126.02, San Francisco County, California",1400000US06075012602,2990,341,2678,369,0,13,0,13,207,105,0,13,0,13,105,75,0,13,105,75
"Census Tract 129.02, San Francisco County, California",1400000US06075012902,3192,253,2545,295,5,10,0,13,567,237,0,13,45,52,30,34,0,13,30,34
"Census Tract 127, San Francisco County, California",1400000US06075012700,3702,265,3176,292,14,22,0,13,406,80,0,13,50,57,56,66,0,13,56,66
"Census Tract 128, San Francisco County, California",1400000US06075012800,4446,502,3661,515,18,26,31,47,483,144,0,13,115,77,138,87,4,11,134,85
"Census Tract 129.01, San Francisco County, California",1400000US06075012901,2456,255,1858,269,4,8,0,13,451,76,0,13,36,41,107,85,0,13,107,85
"Census Tract 130, San Francisco County, California",1400000US06075013000,3844,364,3315,351,21,35,14,23,324,125,0,13,106,112,64,58,0,13,64,58
"Census Tract 131.01, San Francisco County, California",1400000US06075013101,3776,351,2645,345,38,60,0,13,852,290,0,13,28,29,213,130,17,25,196,130
"Census Tract 131.02, San Francisco County, California",1400000US06075013102,2899,289,2510,236,86,97,0,13,220,122,0,13,59,54,24,45,0,13,24,45
"Census Tract 132, San Francisco County, California",1400000US06075013200,4558,619,3747,603,92,99,0,13,603,224,0,13,16,23,100,99,0,13,100,99
"Census Tract 133, San Francisco County, California",1400000US06075013300,4147,371,3260,373,56,82,0,13,592,139,0,13,50,51,189,116,58,57,131,92
"Census Tract 134, San Francisco County, California",1400000US06075013400,3770,505,3164,433,158,161,22,36,352,191,0,13,13,14,61,79,0,13,61,79
"Census Tract 135, San Francisco County, California",1400000US06075013500,2570,184,2069,209,37,30,0,13,361,136,3,6,20,17,80,47,12,18,68,43
"Census Tract 151, San Francisco County, California",1400000US06075015100,2000,158,1329,149,9,15,0,13,604,88,0,13,2,4,56,46,7,13,49,45
"Census Tract 152, San Francisco County, California",1400000US06075015200,3820,458,2682,461,82,69,0,13,935,186,0,13,10,14,111,61,0,13,111,61
"Census Tract 153, San Francisco County, California",1400000US06075015300,2224,298,1538,241,103,78,0,13,342,138,0,13,122,104,119,83,51,77,68,38
"Census Tract 154, San Francisco County, California",1400000US06075015400,5875,431,3786,410,236,132,0,18,1609,431,0,18,71,106,173,86,32,35,141,93
"Census Tract 155, San Francisco County, California",1400000US06075015500,3920,569,2127,509,299,144,0,13,1142,215,0,13,193,145,159,117,78,85,81,81
"Census Tract 156, San Francisco County, California",1400000US06075015600,3004,263,1541,247,35,48,0,13,1209,265,0,13,18,20,201,80,20,23,181,80
"Census Tract 157, San Francisco County, California",1400000US06075015700,7489,999,4064,757,574,259,0,18,1925,512,38,49,527,148,361,201,28,32,333,187
"Census Tract 158.01, San Francisco County, California",1400000US06075015801,3414,494,1554,267,1142,350,0,13,446,135,0,13,175,180,97,94,0,13,97,94
"Census Tract 158.02, San Francisco County, California",1400000US06075015802,2469,334,1805,287,197,103,0,13,279,141,13,22,109,107,66,53,0,13,66,53
"Census Tract 159, San Francisco County, California",1400000US06075015900,4312,347,1592,311,697,222,9,13,1596,305,0,13,274,246,144,107,38,38,106,96
"Census Tract 160, San Francisco County, California",1400000US06075016000,2420,226,1484,181,61,45,6,12,654,152,0,13,68,43,147,81,18,21,129,74
"Census Tract 161, San Francisco County, California",1400000US06075016100,4585,475,1434,292,1602,373,54,59,1130,262,0,13,160,147,205,139,45,40,160,114
"Census Tract 162, San Francisco County, California",1400000US06075016200,2276,285,1581,298,55,40,0,13,352,80,11,18,170,110,107,53,0,13,107,53
"Census Tract 163, San Francisco County, California",1400000US06075016300,4476,821,2465,402,1180,584,20,35,556,194,0,13,113,98,142,84,0,13,142,84
"Census Tract 164, San Francisco County, California",1400000US06075016400,3951,352,2731,338,384,157,31,45,461,160,0,13,170,109,174,92,16,18,158,90
"Census Tract 165, San Francisco County, California",1400000US06075016500,5166,471,3905,388,247,223,41,58,435,206,14,23,294,136,230,131,8,18,222,126
"Census Tract 166, San Francisco County, California",1400000US06075016600,5335,338,3984,365,317,221,0,18,477,154,155,184,116,109,286,147,35,43,251,143
"Census Tract 167, San Francisco County, California",1400000US06075016700,5213,485,3741,439,457,278,5,11,708,333,0,18,68,54,234,123,57,40,177,115
"Census Tract 168.01, San Francisco County, California",1400000US06075016801,3473,492,2105,440,535,306,111,125,389,221,39,60,116,102,178,108,52,52,126,97
"Census Tract 168.02, San Francisco County, California",1400000US06075016802,3099,451,1892,289,558,234,19,29,365,137,18,27,89,87,158,100,11,16,147,96
"Census Tract 169, San Francisco County, California",1400000US06075016900,3123,160,2482,203,103,66,0,13,329,144,30,47,69,89,110,64,24,28,86,56
"Census Tract 170, San Francisco County, California",1400000US06075017000,3941,365,3177,353,202,132,0,13,376,124,0,13,76,59,110,99,6,15,104,98
"Census Tract 171.01, San Francisco County, California",1400000US06075017101,3502,296,2837,242,178,83,0,13,168,106,0,13,49,52,270,154,16,26,254,150
"Census Tract 171.02, San Francisco County, California",1400000US06075017102,3590,320,2818,359,208,117,0,13,179,101,0,13,124,89,261,173,0,13,261,173
"Census Tract 176.01, San Francisco County, California",1400000US06075017601,6706,612,1999,409,1107,318,71,65,2825,433,62,51,272,141,370,210,27,43,343,208
