Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 106, San Francisco County, California",1400000US06075010600,3963,528,1183,151,53,61,0,95,2474,503,0,95,50,47,203,198,141,186,62,67
"Census Tract 107, San Francisco County, California",1400000US06075010700,5752,633,990,294,210,249,10,18,4473,629,0,95,40,49,29,48,29,48,0,95
"Census Tract 108, San Francisco County, California",1400000US06075010800,4819,369,2322,329,70,81,17,21,2260,264,0,95,22,35,128,96,0,95,128,96
"Census Tract 109, San Francisco County, California",1400000US06075010900,4564,361,3142,336,48,45,101,129,1105,254,0,95,62,48,106,57,0,95,106,57
"Census Tract 110, San Francisco County, California",1400000US06075011000,5551,466,2256,376,129,109,0,95,2988,309,0,95,117,123,61,56,28,40,33,43
"Census Tract 111, San Francisco County, California",1400000US06075011100,5146,455,2406,360,335,311,17,26,2003,209,0,95,142,126,243,220,140,209,103,74
"Census Tract 112, San Francisco County, California",1400000US06075011200,3333,341,1908,316,0,95,1,3,1272,246,30,43,18,28,104,87,43,70,61,55
"Census Tract 113, San Francisco County, California",1400000US06075011300,3331,320,425,149,32,46,18,22,2817,333,6,9,8,14,25,31,0,95,25,31
"Census Tract 117, San Francisco County, California",1400000US06075011700,1422,280,637,148,175,126,0,95,519,215,0,95,3,8,88,76,0,95,88,76
"Census Tract 118, San Francisco County, California",1400000US06075011800,1724,205,83,37,4,9,8,12,1626,214,0,95,0,95,3,8,0,95,3,8
"Census Tract 119.01, San Francisco County, California",1400000US06075011901,2248,351,1322,266,145,126,0,95,641,236,0,95,63,57,77,63,0,95,77,63
"Census Tract 119.02, San Francisco County, California",1400000US06075011902,2628,355,1505,278,17,31,56,64,767,201,26,39,43,39,214,148,9,21,205,142
"Census Tract 120, San Francisco County, California",1400000US06075012000,3364,267,1892,249,179,131,0,95,988,226,0,95,144,111,161,88,33,37,128,83
"Census Tract 121, San Francisco County, California",1400000US06075012100,3316,344,2068,316,87,70,8,14,954,176,12,20,51,44,136,97,0,95,136,97
"Census Tract 122.01, San Francisco County, California",1400000US06075012201,4324,476,2033,437,187,117,0,95,1542,377,0,95,442,345,120,142,4,44,116,131
"Census Tract 122.02, San Francisco County, California",1400000US06075012202,2507,387,1316,342,388,261,0,95,637,186,0,95,29,31,137,101,54,65,83,75
"Census Tract 123.01, San Francisco County, California",1400000US06075012301,1944,302,567,181,302,134,0,95,834,282,0,95,186,142,55,44,0,95,55,44
"Census Tract 123.02, San Francisco County, California",1400000US06075012302,2179,287,1131,254,252,126,71,68,549,231,0,95,117,124,59,64,0,95,59,64
"Census Tract 124.01, San Francisco County, California",1400000US06075012401,4343,658,1902,478,163,101,24,29,1021,334,15,22,896,559,322,240,130,155,192,194
"Census Tract 124.02, San Francisco County, California",1400000US06075012402,3175,322,1153,246,270,139,0,95,1251,294,7,13,316,157,178,90,43,44,135,87
"Census Tract 125.01, San Francisco County, California",1400000US06075012501,3259,403,1318,280,506,219,125,102,910,250,1,4,309,191,90,86,0,95,90,86
"Census Tract 125.02, San Francisco County, California",1400000US06075012502,3433,443,794,222,641,249,49,71,1355,239,0,95,427,460,167,117,13,23,154,117
"Census Tract 126.01, San Francisco County, California",1400000US06075012601,2290,304,2019,298,0,95,34,39,209,171,0,95,0,95,28,35,0,95,28,35
"Census Tract 126.02, San Francisco County, California",1400000US06075012602,2617,379,2437,374,0,95,0,95,101,71,0,95,0,95,79,68,0,95,79,68
"Census Tract 127, San Francisco County, California",1400000US06075012700,3293,265,2815,279,0,95,0,95,379,98,0,95,70,65,29,34,0,95,29,34
