Geographic Area Name,id,Estimate  Total,Margin of Error  Total,Estimate  Total  White alone,Margin of Error  Total  White alone,Estimate  Total  Black or African American alone,Margin of Error  Total  Black or African American alone,Estimate  Total  American Indian and Alaska Native alone,Margin of Error  Total  American Indian and Alaska Native alone,Estimate  Total  Asian alone,Margin of Error  Total  Asian alone,Estimate  Total  Native Hawaiian and Other Pacific Islander alone,Margin of Error  Total  Native Hawaiian and Other Pacific Islander alone,Estimate  Total  Some other race alone,Margin of Error  Total  Some other race alone,Estimate  Total  Two or more races,Margin of Error  Total  Two or more races,Estimate  Total  Two or more races  Two races including Some other race,Margin of Error  Total  Two or more races  Two races including Some other race,"Estimate  Total  Two or more races  Two races excluding Some other race, and three or more races","Margin of Error  Total  Two or more races  Two races excluding Some other race, and three or more races"
"Census Tract 332.01, San Francisco County, California",1400000US06075033201,4281,305,1759,200,307,113,15,24,944,173,22,41,775,208,459,110,82,58,377,124
"Census Tract 332.03, San Francisco County, California",1400000US06075033203,3580,345,1686,266,315,188,0,12,1240,271,0,12,223,159,116,53,8,15,108,51
"Census Tract 332.04, San Francisco County, California",1400000US06075033204,4678,451,1725,349,406,174,20,41,1621,405,0,12,714,347,192,100,0,12,192,100
"Census Tract 351, San Francisco County, California",1400000US06075035100,9020,744,2938,409,59,58,52,57,5034,632,0,17,43,44,894,349,317,237,577,296
"Census Tract 352.01, San Francisco County, California",1400000US06075035201,6180,497,2372,441,8,11,1,4,3390,383,0,17,148,96,261,149,11,16,250,147
"Census Tract 352.02, San Francisco County, California",1400000US06075035202,4911,296,2177,271,124,128,0,12,1971,394,201,196,105,67,333,156,0,12,333,156
"Census Tract 353, San Francisco County, California",1400000US06075035300,7510,492,2164,306,72,108,13,24,4697,590,19,31,207,104,338,259,43,72,295,231
"Census Tract 354, San Francisco County, California",1400000US06075035400,7075,522,2461,264,129,114,0,17,3552,513,0,17,522,168,411,162,11,17,400,158
"Census Tract 401, San Francisco County, California",1400000US06075040100,4670,306,2695,273,58,45,0,12,1740,237,18,27,62,43,97,58,0,12,97,58
"Census Tract 402, San Francisco County, California",1400000US06075040200,5633,386,3220,362,12,20,0,17,1884,254,0,17,165,93,352,180,69,54,283,160
"Census Tract 426.01, San Francisco County, California",1400000US06075042601,3956,321,2032,238,246,173,7,11,1439,225,0,12,52,43,180,93,58,69,122,64
"Census Tract 426.02, San Francisco County, California",1400000US06075042602,3157,229,1818,155,29,34,0,12,1029,140,0,12,43,41,238,106,13,21,225,101
"Census Tract 427, San Francisco County, California",1400000US06075042700,5397,390,2157,274,274,208,0,17,2608,405,29,43,104,96,225,134,78,75,147,109
"Census Tract 428, San Francisco County, California",1400000US06075042800,2497,194,1894,193,13,18,0,12,453,71,0,12,9,15,128,70,0,12,128,70
"Census Tract 451, San Francisco County, California",1400000US06075045100,5139,517,2732,535,106,143,7,12,1902,352,0,17,266,330,126,81,0,17,126,81
