name,2010,2011,2012,2013,2014,2015,2016,2017,2018
122.01,142598.3404992954,174626.04065123823,122106.75951876106,30464.52750998695,-16931.078837955334,-111684.71224271417,-108736.92268643752,-101217.61424068727,-131225.34017148704
122.02,142317.4964845091,174399.49675465666,121824.66683178782,30066.13760671466,-17274.519551420402,-112010.39924847546,-108936.54746777548,-100572.71277974307,-129813.61863025355
123.01,142201.93818443225,174424.77082882603,121705.99760013557,30080.30341624519,-17240.5978004961,-112018.57830760484,-108926.7102059772,-100416.63900971,-129810.48470585073
123.02,142414.83180387254,174532.3307972733,121828.61272794806,30322.22795480967,-17112.244671239423,-111999.97879244317,-109158.41959532468,-100725.30106762798,-130102.05915726828
124.01,142206.4482092137,174414.0783258403,121673.36912570191,30042.001232615436,-17285.091112633338,-112050.97786861136,-108926.12393441822,-100393.72053230296,-129679.98344540535
124.02,142999.80575161186,174743.3330338619,122481.1831519316,30771.781554432087,-17076.561585053732,-111904.93146429659,-109023.21149327717,-101138.04698182413,-131853.35196738556
125.01,142267.99806450517,174457.4775546384,121707.46336918244,30127.023500744202,-17202.672521860863,-112039.20700420883,-108997.56154945944,-100514.88079108273,-129805.64062245833
125.02,142210.63677599374,174416.19363875786,121669.96896832155,30035.236169111995,-17288.278398457744,-112052.50684170435,-108933.68644693498,-100383.51250327926,-129674.05136180874
126.01,-449502.55650145217,-541142.4100035527,-358841.3195467433,-196633.0856720493,4655.975915244702,255156.57774408057,252537.56216826758,406834.95073189924,626934.3051643062
126.02,-449702.8783487301,-540937.9963040411,-358537.0956728799,-196118.19016405387,5094.032266753274,255597.1467668486,252089.62416653166,406370.7384198934,626144.6188696787
127,-449939.4904022971,-541470.0932390562,-358344.46747481514,-196340.12988018978,5291.118197027449,255253.56423450253,252523.01901250798,406630.75905304303,626395.7204992775
128,-450142.8592132326,-541156.3909140835,-358913.72809866164,-196243.98853817358,5113.939196661349,255417.28668843242,251977.63532527338,407135.0379867508,626813.0675670344
129.01,-450861.34095706476,-541533.0126009694,-359030.15025538707,-196260.93747562554,5040.2009718986055,255517.00947832142,253065.2320198583,407132.09342035715,626930.905398612
129.02,-449761.8527613999,-540963.0217490704,-358683.79844832956,-196195.59848894435,5052.964605450029,255416.22108812354,252260.87068499782,406505.77304680855,626368.442022365
130,-450940.16459719086,-541854.4862458931,-359271.76263846795,-196604.9948682227,5347.160396681828,256143.58638401178,253018.21661669345,407262.1177919842,626900.3271604041
131.01,-404394.76949137537,-442723.14315566357,-272047.1147916492,-133257.2827846384,24803.28001477013,241128.0242930419,238920.8728496258,277769.0513806984,469801.0816851908
131.02,-404180.98802864004,-442974.55864688376,-272671.53964527464,-134058.71628550085,23929.370030328744,240079.43650135156,239146.8516946488,279321.3370304379,471408.8073495331
132,-403958.21795119124,-442906.8485287621,-272046.7961762039,-133350.06224194338,24723.622796394404,241045.60625083552,238688.46722495498,277605.6957178673,470198.53290804924
133,-1090259.4432540266,-1013535.0214525888,-664514.4265564076,-244555.83172182864,111475.96434012614,385212.39422315225,372943.5977360263,738462.6938260377,1404770.0728595103
134,-404002.6802154727,-443083.4084616386,-272341.4782653824,-134177.32567341215,24349.46403119806,240723.29244331789,239074.31903881647,278519.7178539202,470938.09924865374
