,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
32,"Census Tract 171.01, San Francisco County, California",126591,126932,(X),-,187574,-,-,-,(X),126420,(X),(X),(X),(X),2015,171.01,"POLYGON ((-122.449433 37.7632, -122.448274 37.764196, -122.447635 37.765139, -122.448013 37.767007, -122.44839 37.768865, -122.442765 37.769661, -122.443356 37.768944, -122.443866 37.767536, -122.443533 37.766691, -122.442575 37.765928, -122.443347 37.765333, -122.443538 37.765323, -122.446247 37.762247, -122.446384 37.761816, -122.446783 37.761781, -122.44912 37.761648, -122.449433 37.7632))"
33,"Census Tract 171.01, San Francisco County, California",127065,126658,132841,-,192059,-,-,-,-,126522,-,151420,134250,67557,2016,171.01,"POLYGON ((-122.449433 37.7632, -122.448274 37.764196, -122.447635 37.765139, -122.448013 37.767007, -122.44839 37.768865, -122.442765 37.769661, -122.443356 37.768944, -122.443866 37.767536, -122.443533 37.766691, -122.442575 37.765928, -122.443347 37.765333, -122.443538 37.765323, -122.446247 37.762247, -122.446384 37.761816, -122.446783 37.761781, -122.44912 37.761648, -122.449433 37.7632))"
34,"Census Tract 171.01, San Francisco County, California",155278,152917,-,-,207656,-,-,-,-,153333,-,173309,171528,68929,2017,171.01,"POLYGON ((-122.449433 37.7632, -122.448274 37.764196, -122.447635 37.765139, -122.448013 37.767007, -122.44839 37.768865, -122.442765 37.769661, -122.443356 37.768944, -122.443866 37.767536, -122.443533 37.766691, -122.442575 37.765928, -122.443347 37.765333, -122.443538 37.765323, -122.446247 37.762247, -122.446384 37.761816, -122.446783 37.761781, -122.44912 37.761648, -122.449433 37.7632))"
35,"Census Tract 171.01, San Francisco County, California",173214,163971,-,-,240263,-,-,-,-,162721,-,187000,200792,57321,2018,171.01,"POLYGON ((-122.449433 37.7632, -122.448274 37.764196, -122.447635 37.765139, -122.448013 37.767007, -122.44839 37.768865, -122.442765 37.769661, -122.443356 37.768944, -122.443866 37.767536, -122.443533 37.766691, -122.442575 37.765928, -122.443347 37.765333, -122.443538 37.765323, -122.446247 37.762247, -122.446384 37.761816, -122.446783 37.761781, -122.44912 37.761648, -122.449433 37.7632))"
36,"Census Tract 171.02, San Francisco County, California",111734,117500,108036,-,113472,-,-,10833,53438,114219,10833,125625,110682,110694,2013,171.02,"POLYGON ((-122.453352 37.768246, -122.450522 37.768593, -122.44839 37.768865, -122.448013 37.767007, -122.447635 37.765139, -122.448274 37.764196, -122.449433 37.7632, -122.44912 37.761648, -122.451958 37.761478, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443, -122.452947 37.766374, -122.453352 37.768246))"
37,"Census Tract 171.02, San Francisco County, California",113672,119094,105804,-,113011,-,-,54712,42396,118906,11364,125500,113239,112625,2014,171.02,"POLYGON ((-122.453352 37.768246, -122.450522 37.768593, -122.44839 37.768865, -122.448013 37.767007, -122.447635 37.765139, -122.448274 37.764196, -122.449433 37.7632, -122.44912 37.761648, -122.451958 37.761478, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443, -122.452947 37.766374, -122.453352 37.768246))"
38,"Census Tract 171.02, San Francisco County, California",105684,108984,"2,500-",-,200682,-,42041,-,71289,109844,37361,106760,107500,97330,2010,171.02,"POLYGON ((-122.453352 37.768246, -122.450522 37.768593, -122.44839 37.768865, -122.448013 37.767007, -122.447635 37.765139, -122.448274 37.764196, -122.449433 37.7632, -122.44912 37.761648, -122.451958 37.761478, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443, -122.452947 37.766374, -122.453352 37.768246))"
39,"Census Tract 171.02, San Francisco County, California",109153,113325,"2,500-",-,107794,-,44256,-,74363,113750,38500,110588,109485,106477,2011,171.02,"POLYGON ((-122.453352 37.768246, -122.450522 37.768593, -122.44839 37.768865, -122.448013 37.767007, -122.447635 37.765139, -122.448274 37.764196, -122.449433 37.7632, -122.44912 37.761648, -122.451958 37.761478, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443, -122.452947 37.766374, -122.453352 37.768246))"
40,"Census Tract 171.02, San Francisco County, California",114732,124847,"2,500-",-,84408,-,44087,11700,73019,128274,11750,124766,114531,107292,2012,171.02,"POLYGON ((-122.453352 37.768246, -122.450522 37.768593, -122.44839 37.768865, -122.448013 37.767007, -122.447635 37.765139, -122.448274 37.764196, -122.449433 37.7632, -122.44912 37.761648, -122.451958 37.761478, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443, -122.452947 37.766374, -122.453352 37.768246))"
41,"Census Tract 171.02, San Francisco County, California",121500,126189,-,-,132813,-,-,(X),(X),126494,10603,126019,131786,114063,2015,171.02,"POLYGON ((-122.453352 37.768246, -122.450522 37.768593, -122.44839 37.768865, -122.448013 37.767007, -122.447635 37.765139, -122.448274 37.764196, -122.449433 37.7632, -122.44912 37.761648, -122.451958 37.761478, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443, -122.452947 37.766374, -122.453352 37.768246))"
