,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
402,"Census Tract 303.02, San Francisco County, California",133984,138654,-,-,134297,-,-,-,155729,139135,-,153250,146207,93854,2016,303.02,"POLYGON ((-122.4766 37.756108, -122.473683 37.756237, -122.47121 37.755194, -122.470908 37.752616, -122.47068 37.752376, -122.469782 37.752675, -122.468335 37.753244, -122.4666 37.752803, -122.464462 37.752899, -122.463442 37.751195, -122.464186 37.750717, -122.465403 37.750986, -122.466469 37.750939, -122.466336 37.749075, -122.469549 37.748903, -122.470595 37.748869, -122.476131 37.748643, -122.476221 37.750509, -122.476355 37.752376, -122.4766 37.756108))"
403,"Census Tract 303.02, San Francisco County, California",135143,129531,-,-,136321,-,-,-,131250,130833,-,156932,148125,100781,2017,303.02,"POLYGON ((-122.4766 37.756108, -122.473683 37.756237, -122.47121 37.755194, -122.470908 37.752616, -122.47068 37.752376, -122.469782 37.752675, -122.468335 37.753244, -122.4666 37.752803, -122.464462 37.752899, -122.463442 37.751195, -122.464186 37.750717, -122.465403 37.750986, -122.466469 37.750939, -122.466336 37.749075, -122.469549 37.748903, -122.470595 37.748869, -122.476131 37.748643, -122.476221 37.750509, -122.476355 37.752376, -122.4766 37.756108))"
404,"Census Tract 303.02, San Francisco County, California",138125,144722,-,-,138914,-,-,-,-,148250,-,150694,177619,97917,2018,303.02,"POLYGON ((-122.4766 37.756108, -122.473683 37.756237, -122.47121 37.755194, -122.470908 37.752616, -122.47068 37.752376, -122.469782 37.752675, -122.468335 37.753244, -122.4666 37.752803, -122.464462 37.752899, -122.463442 37.751195, -122.464186 37.750717, -122.465403 37.750986, -122.466469 37.750939, -122.466336 37.749075, -122.469549 37.748903, -122.470595 37.748869, -122.476131 37.748643, -122.476221 37.750509, -122.476355 37.752376, -122.4766 37.756108))"
405,"Census Tract 119.01, San Francisco County, California",58685,67500,51888,-,53587,-,-,-,49018,70000,19830,122361,58125,37917,2013,119.01,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
406,"Census Tract 119.01, San Francisco County, California",58641,63068,54046,-,83438,-,-,-,49010,68026,17813,123194,53360,45000,2014,119.01,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
407,"Census Tract 119.01, San Francisco County, California",50769,50733,-,-,50524,-,-,-,51250,50179,11583,59417,75295,20125,2010,119.01,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
408,"Census Tract 119.01, San Francisco County, California",54059,54464,51505,-,54867,-,-,-,35250,56950,34688,96696,61875,27375,2011,119.01,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
409,"Census Tract 119.01, San Francisco County, California",56604,75192,51467,-,52800,-,-,-,45750,81053,34018,148315,52391,40833,2012,119.01,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
410,"Census Tract 119.01, San Francisco County, California",59981,75313,53785,-,(X),-,-,-,49650,77188,19750,131923,54115,37895,2015,119.01,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
411,"Census Tract 119.01, San Francisco County, California",72364,83295,-,-,66528,-,-,-,71786,79135,-,120991,64000,43095,2016,119.01,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
412,"Census Tract 119.01, San Francisco County, California",72038,82672,-,-,79250,-,-,-,51728,81375,-,114141,56452,39732,2017,119.01,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
413,"Census Tract 119.01, San Francisco County, California",97109,96250,-,-,123375,-,-,-,95052,92639,-,126047,73500,47875,2018,119.01,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
414,"Census Tract 119.02, San Francisco County, California",51996,54375,-,-,63750,-,26705,46528,59453,47109,45357,68125,43077,22480,2013,119.02,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
415,"Census Tract 119.02, San Francisco County, California",58657,58819,35385,-,74457,-,26417,46786,59491,51731,45313,81161,41161,23816,2014,119.02,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
416,"Census Tract 119.02, San Francisco County, California",51029,55911,-,-,41875,-,19479,100767,53000,57214,50868,55875,45673,33355,2010,119.02,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
417,"Census Tract 119.02, San Francisco County, California",47012,55881,-,-,31250,-,20341,103188,52917,63750,50542,57188,34231,25547,2011,119.02,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
418,"Census Tract 119.02, San Francisco County, California",47140,49250,-,-,34338,-,100370,105982,55464,46760,47000,57154,33852,25375,2012,119.02,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
419,"Census Tract 119.02, San Francisco County, California",66352,57234,35486,-,100275,-,64028,116000,57466,63000,(X),(X),(X),(X),2015,119.02,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
420,"Census Tract 119.02, San Francisco County, California",74077,66327,35288,-,101378,-,65595,-,56616,67368,60500,98875,-,23073,2016,119.02,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
421,"Census Tract 119.02, San Francisco County, California",84735,78472,-,-,121875,-,56146,97321,56875,79375,61667,103431,75714,23269,2017,119.02,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
422,"Census Tract 119.02, San Francisco County, California",84167,81131,-,-,105175,-,66667,110000,66528,82639,87813,96250,92823,29722,2018,119.02,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
423,"Census Tract 122.01, San Francisco County, California",35244,29475,41288,-,24292,-,60544,33173,43393,28750,7089,43438,28514,17961,2013,122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
424,"Census Tract 122.01, San Francisco County, California",38045,41875,21071,-,38144,-,63958,34167,62963,36938,6214,57963,27798,36125,2014,122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
425,"Census Tract 122.01, San Francisco County, California",31265,30397,23618,-,34613,-,29658,64917,27991,35868,17257,34821,27832,32798,2010,122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
426,"Census Tract 122.01, San Francisco County, California",32250,34673,22340,-,29656,-,32321,6279,30104,38909,17537,40925,28419,19688,2011,122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
427,"Census Tract 122.01, San Francisco County, California",31504,33258,36400,-,24973,-,32295,6891,31133,36250,7426,44643,25735,28375,2012,122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
428,"Census Tract 122.01, San Francisco County, California",41677,46484,(X),-,30949,-,62807,(X),52688,44912,(X),(X),(X),(X),2015,122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
429,"Census Tract 122.01, San Francisco County, California",43698,43182,-,-,46667,-,63229,35913,40128,51630,13400,66360,21861,36215,2016,122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
430,"Census Tract 122.01, San Francisco County, California",56298,60386,-,-,63423,-,85053,-,42823,65986,14106,86328,40143,35492,2017,122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
431,"Census Tract 122.01, San Francisco County, California",66563,64500,-,-,-,-,99607,-,89052,68526,14099,94759,43971,20867,2018,122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
432,"Census Tract 122.02, San Francisco County, California",27908,27713,52850,-,21250,-,-,55875,24920,28231,37680,34375,27829,13068,2013,122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
433,"Census Tract 122.02, San Francisco County, California",29226,28788,52566,-,22639,-,29023,-,50645,27227,38272,37353,27222,15341,2014,122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
434,"Census Tract 122.02, San Francisco County, California",23716,29183,11925,-,22600,-,-,12060,35733,23333,28917,36550,17232,18173,2010,122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
435,"Census Tract 122.02, San Francisco County, California",27000,23750,50059,-,36364,-,-,12794,37877,19044,36222,50154,14208,13295,2011,122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
436,"Census Tract 122.02, San Francisco County, California",22699,20089,34107,-,38404,-,-,14421,31696,17703,38167,33571,19628,11622,2012,122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
437,"Census Tract 122.02, San Francisco County, California",29896,33775,42308,-,19607,-,42917,(X),51791,29063,(X),(X),(X),(X),2015,122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
438,"Census Tract 122.02, San Francisco County, California",31202,37380,16111,-,27969,-,43438,-,50778,35986,"2,500-",55250,26053,17023,2016,122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
439,"Census Tract 122.02, San Francisco County, California",36719,51389,23563,-,28309,-,42585,-,44119,42500,-,71250,33125,14787,2017,122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
440,"Census Tract 122.02, San Francisco County, California",35970,48750,-,-,33378,-,46750,-,52878,45694,20781,77702,30769,14417,2018,122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
441,"Census Tract 123.01, San Francisco County, California",12018,14226,9875,-,11805,-,9531,10729,10000,13244,7880,21017,13155,11283,2013,123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
442,"Census Tract 123.01, San Francisco County, California",12371,15759,9488,-,12137,-,9470,16094,11449,14673,7083,20658,14722,11408,2014,123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
443,"Census Tract 123.01, San Francisco County, California",13615,13950,9573,"2,500-",18672,-,29659,7368,29659,13950,51413,34773,11974,10319,2010,123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
444,"Census Tract 123.01, San Francisco County, California",12591,12774,9828,-,11857,-,14924,37961,14924,12774,13409,22383,16339,11032,2011,123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
445,"Census Tract 123.01, San Francisco County, California",11655,13542,9196,-,11368,-,12321,10729,20057,13452,7434,20854,13661,10799,2012,123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
446,"Census Tract 123.01, San Francisco County, California",13909,15236,(X),-,12089,-,9304,-,11518,13591,7321,22041,16186,11452,2015,123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
447,"Census Tract 123.01, San Francisco County, California",15272,16281,28684,-,15375,-,8670,-,-,13449,-,24219,14336,11714,2016,123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
448,"Census Tract 123.01, San Francisco County, California",17342,16026,28490,-,23094,-,8977,-,-,14196,-,28667,15722,12895,2017,123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
449,"Census Tract 123.01, San Francisco County, California",23371,18056,-,-,24318,-,36595,-,35431,14858,-,35994,17321,14070,2018,123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
450,"Census Tract 123.02, San Francisco County, California",26042,30393,16000,-,25972,-,-,-,28750,32917,47321,32206,18431,25515,2013,123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
451,"Census Tract 123.02, San Francisco County, California",29362,51607,18598,-,25979,-,53295,12824,30227,59063,7813,60652,19924,25750,2014,123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
452,"Census Tract 123.02, San Francisco County, California",24375,32961,13506,40875,"2,500-",-,21875,-,25268,33125,10417,22431,26581,19167,2010,123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
453,"Census Tract 123.02, San Francisco County, California",25119,30932,16269,133386,12339,-,-,-,24286,31523,"2,500-",31268,17212,27963,2011,123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
454,"Census Tract 123.02, San Francisco County, California",25813,34591,17316,19712,22545,-,50096,-,26250,42833,25703,34119,18784,24435,2012,123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
455,"Census Tract 123.02, San Francisco County, California",34189,39777,(X),-,32931,-,65197,13611,(X),46833,(X),(X),(X),(X),2015,123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
456,"Census Tract 123.02, San Francisco County, California",39081,54464,53681,-,35703,-,65156,13681,53534,60347,50962,63471,25938,28243,2016,123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
457,"Census Tract 123.02, San Francisco County, California",40976,47702,54766,-,36675,-,70139,16713,55000,41750,41000,64871,29205,28086,2017,123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
458,"Census Tract 123.02, San Francisco County, California",43493,54432,-,-,39358,-,73750,-,64722,43214,41510,72031,34537,23977,2018,123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
459,"Census Tract 124.01, San Francisco County, California",19108,20955,12391,-,18750,-,19087,14663,22235,17323,20167,23618,16955,13679,2013,124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
460,"Census Tract 124.01, San Francisco County, California",20152,21190,10560,-,26515,-,19813,13707,22297,17297,25969,22161,17841,15967,2014,124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
461,"Census Tract 124.01, San Francisco County, California",21061,18094,14145,18688,22120,-,32563,31618,32563,15141,20945,31324,20946,11780,2010,124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
462,"Census Tract 124.01, San Francisco County, California",21306,20435,16042,18000,24154,-,36094,112904,21794,16806,21385,22384,20702,15250,2011,124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
463,"Census Tract 124.01, San Francisco County, California",19974,20030,15444,18309,21875,-,18500,20536,21500,16714,19784,23297,19620,15151,2012,124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
464,"Census Tract 124.01, San Francisco County, California",20332,21662,10585,-,27635,-,25129,12042,22570,18269,(X),(X),(X),(X),2015,124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
465,"Census Tract 124.01, San Francisco County, California",18979,21575,10750,-,30057,-,30050,15804,26903,20274,13750,31385,12961,15465,2016,124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
466,"Census Tract 124.01, San Francisco County, California",23467,30444,11240,-,33571,-,30750,-,30734,-,15938,38929,13429,16458,2017,124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
467,"Census Tract 124.01, San Francisco County, California",24511,32688,11095,-,31591,-,56446,40775,56181,19042,-,66083,13690,16500,2018,124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
468,"Census Tract 124.02, San Francisco County, California",25274,25091,26364,-,47563,-,15272,31250,12793,27165,21979,41250,16382,12708,2013,124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
469,"Census Tract 124.02, San Francisco County, California",32794,34118,12154,-,61224,-,14699,32031,13171,38672,27132,89013,21623,13413,2014,124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
470,"Census Tract 124.02, San Francisco County, California",18908,12065,24063,-,18673,-,55313,11875,38958,12206,"2,500-",27813,19668,11783,2010,124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
471,"Census Tract 124.02, San Francisco County, California",21707,25985,25146,-,22656,-,16573,29444,16307,26023,"2,500-",32304,18922,11460,2011,124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
472,"Census Tract 124.02, San Francisco County, California",19792,17824,12325,-,43309,-,14867,28500,13723,19630,28654,42458,16848,11500,2012,124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
