,Total  Estimate  Population 25 years and over,Total  Estimate  Less than 9th grade,"Total  Estimate  9th to 12th grade, no diploma",Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  Some college or associate's degree,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,"Total  Estimate  Some college, no degree",Total  Estimate  Associate's degree,Total  Estimate  Bachelor's degree,Total  Estimate  Graduate or professional degree,Total  Estimate  Percent high school graduate or higher,Total  Estimate  Percent bachelor's degree or higher,Name,tract
24,3181,25.1,10.5,21.1,28.8,21.1,28.8,22.6,5.5,23.7,8.3,8.1,12.1,5.5,23.7,8.3,8.1,12.1,5.5,23.7,8.3,8.1,12.1,5.5,23.7,8.3,8.1,12.1,5.5,23.7,8.3,8.1,12.1,19.8,3.3,10.4,2.2,64.5,12.5,"Census Tract 124.01, San Francisco County, California",124.01
25,2437,7.3,10,32.3,17.5,32.3,17.5,29,38.7,62.8,44,13.3,20.9,38.7,62.8,44,13.3,20.9,38.7,62.8,44,13.3,20.9,38.7,62.8,44,13.3,20.9,38.7,62.8,44,13.3,20.9,21.7,8.5,21.9,13.1,82.7,35,"Census Tract 124.02, San Francisco County, California",124.02
26,2770,7.4,13.6,34.6,27.6,34.6,27.6,32.7,12.5,32.1,19.6,20.3,18,12.5,32.1,19.6,20.3,18,12.5,32.1,19.6,20.3,18,12.5,32.1,19.6,20.3,18,12.5,32.1,19.6,20.3,18,22.4,7.5,11.9,9.5,78.9,21.4,"Census Tract 125.01, San Francisco County, California",125.01
27,2673,22.7,14.5,39.2,24.8,39.2,24.8,39.2,7.2,17.3,22.9,17.8,16.2,7.2,17.3,22.9,17.8,16.2,7.2,17.3,22.9,17.8,16.2,7.2,17.3,22.9,17.8,16.2,7.2,17.3,22.9,17.8,16.2,20.4,0,9.4,8.3,62.8,17.7,"Census Tract 125.02, San Francisco County, California",125.02
28,2144,0,2.8,0,3.5,0,3.5,0,100,100,100,46.2,56,100,100,100,46.2,56,100,100,100,46.2,56,100,100,100,46.2,56,100,100,100,46.2,56,5.5,1.9,52.4,34,97.2,86.5,"Census Tract 126.01, San Francisco County, California",126.01
29,2230,3.9,0,0,4.2,0,4.2,11.7,88.3,98.5,92.5,82.7,28.1,88.3,98.5,92.5,82.7,28.1,88.3,98.5,92.5,82.7,28.1,88.3,98.5,92.5,82.7,28.1,88.3,98.5,92.5,82.7,28.1,7.3,1.8,56.6,26.2,96.1,82.9,"Census Tract 126.02, San Francisco County, California",126.02
30,2929,2.7,0,0,8,0,8,14.4,71.1,89.9,81.4,79.5,36.9,71.1,89.9,81.4,79.5,36.9,71.1,89.9,81.4,79.5,36.9,71.1,89.9,81.4,79.5,36.9,71.1,89.9,81.4,79.5,36.9,10.9,1.5,47.7,29.2,97.3,76.9,"Census Tract 127, San Francisco County, California",127.0
31,3367,0,0.4,24.3,8,24.3,8,11.1,55.2,93.6,92.1,60.2,60.3,55.2,93.6,92.1,60.2,60.3,55.2,93.6,92.1,60.2,60.3,55.2,93.6,92.1,60.2,60.3,55.2,93.6,92.1,60.2,60.3,9.3,3.6,51.2,27.4,99.6,78.6,"Census Tract 128, San Francisco County, California",128.0
32,2130,0,2,0,10.2,0,10.2,21.1,78.9,92,78.1,47.9,25.5,78.9,92,78.1,47.9,25.5,78.9,92,78.1,47.9,25.5,78.9,92,78.1,47.9,25.5,78.9,92,78.1,47.9,25.5,9.9,3.9,52.8,21.2,98,74,"Census Tract 129.01, San Francisco County, California",129.01
33,3017,0.9,0.3,0,5.7,0,5.7,16.7,83.3,89.8,79.8,73.3,27.5,83.3,89.8,79.8,73.3,27.5,83.3,89.8,79.8,73.3,27.5,83.3,89.8,79.8,73.3,27.5,83.3,89.8,79.8,73.3,27.5,10.3,6.6,54.7,21.4,98.8,76.1,"Census Tract 129.02, San Francisco County, California",129.02
