Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B192280,09/09/2019,10/30/2019,500.00,,,1,455 Eddy Street,94102,6,Tenderloin,POINT (-122.41514305157303 37.783560438676375),100,20,5,10,36,36,10,9,7,28852,2,1,,1,20
B180912,03/23/2018,07/09/2018,72400.00,,true,3,1337 5th Avenue,94122,5,Inner Sunset,POINT (-122.46206406437746 37.76352788397174),100,109,7,11,14,12,5,11,1,56,1,,,,109
B183238,11/28/2018,,,,,,646 Ellis Street,94109,6,Tenderloin,POINT (-122.41686662676514 37.78440757020144),100,20,5,10,36,36,10,9,7,28858,2,1,,,20
B163872,12/21/2016,,,,,,842 Monterey Boulevard,94127,7,West of Twin Peaks,POINT (-122.45441216566991 37.73160102056412),100,70,9,8,41,40,7,4,9,59,1,,,,70
B151297,,05/21/2015,16000.00,,,2,600 Gates Street,94110,9,Bernal Heights,POINT (-122.41429507447786 37.735903158129375),100,83,9,2,2,2,7,7,2,28859,1,,,,83
B172179,08/22/2017,12/20/2017,15000.00,,,2,3214 Balboa Street,94121,1,Outer Richmond,POINT (-122.49323553255132 37.775962361964275),100,8,8,4,29,26,6,2,11,55,1,,,,8
B181403,05/01/2018,,,,,,1348 6TH Avenue,94122,5,Inner Sunset,POINT (-122.46298238167081 37.763272639586816),100,109,7,11,14,12,5,11,1,56,1,,,,109
B151965,07/24/2015,07/24/2015,2000.00,,,2,2 Emery Lane,94133,3,Chinatown,POINT (-122.40958641442104 37.79849904527831),100,106,6,3,6,4,1,10,3,308,2,,,,106
B163802,12/09/2016,05/02/2017,20000.00,,true,1,667 Spruce Street,94118,2,Presidio Heights,POINT (-122.45341375978215 37.782501093497046),100,11,8,6,31,31,6,1,11,54,1,,,,11
B182781,10/05/2018,,,,,,450 14th Street,94103,8,Mission,POINT (-122.42334510615449 37.76813149464533),100,37,3,5,20,19,4,5,8,28853,2,,,,37
B171688,06/26/2017,08/25/2017,0.00,,,1,307 Crestmont Drive,94131,7,Inner Sunset,POINT (-122.46019683883232 37.75745049952357),100,111,7,8,14,12,5,4,1,63,1,,,,111
B152988,10/27/2015,02/22/2016,10000.00,,,2,235 Jersey Street,94114,8,Noe Valley,POINT (-122.430374202999 37.750664591446444),100,84,3,5,22,22,4,5,2,28862,1,,,,84
B162851,09/07/2016,,,,,,649 Capp Street,94110,9,Mission,POINT (-122.41768114314682 37.75632615009404),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B181602,05/14/2018,,,,,,331 Wayland Street,94134,9,Portola,POINT (-122.40539063816648 37.72578633186892),100,91,2,2,25,28,3,7,10,309,2,,,,91
B182152,07/16/2018,08/09/2018,10000.00,,,2,2700 Polk Street,94109,2,Russian Hill,POINT (-122.42285222723946 37.80159954194967),100,107,4,6,32,32,9,1,5,28858,1,,,,107
B150588,03/12/2015,05/08/2015,32000.00,,,4,1336 Shotwell Street,94110,9,Bernal Heights,POINT (-122.41496928662296 37.74789921566498),100,83,9,2,2,2,7,7,2,28859,1,,,,83
B170620,,03/09/2017,,true,,1,32 Hearst Avenue,94131,7,West of Twin Peaks,POINT (-122.43904469528916 37.730796216836396),100,95,9,8,41,40,7,4,9,63,1,,,,95
B191535,07/09/2019,,,,,,2620 Vicente Street,94116,4,Sunset/Parkside,POINT (-122.49497463161097 37.73852228271238),100,39,10,7,35,35,8,3,1,29491,1,,,,39
B190567,03/18/2019,08/13/2019,123750.00,,true,2,3665 Clay Street,94118,2,Presidio Heights,POINT (-122.45318627888564 37.788253514713645),100,10,8,6,31,31,6,1,11,54,1,,,,10
B162471,07/26/2016,,,,,,1633 Washington Street,94109,3,Russian Hill,POINT (-122.42013767356904 37.79334719484197),100,105,4,3,32,32,9,10,13,28858,1,,,,105
B170851,03/28/2017,,,,,,120 Ellis Street,94102,3,Tenderloin,POINT (-122.40822013186153 37.78550718115183),100,19,5,3,36,36,10,10,14,28852,2,1,,,19
B163164,09/26/2016,09/26/2016,38000.00,,,2,47 Brighton Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45519700889136 37.71908936011869),100,64,10,1,24,24,8,6,9,28861,2,,,,64
B151999,07/31/2015,,,,,,890 Guerrero Street,94110,8,Mission,POINT (-122.42347222597928 37.756911406929184),100,52,3,5,20,19,4,5,2,28859,1,,,,52
B190490,03/06/2019,,,,,,999 Green Street,94133,3,Nob Hill,POINT (-122.41554467973818 37.79863461747111),100,107,6,3,21,21,1,10,5,308,1,,,,107
B161395,04/18/2016,,,,,,2829 Pierce Street,94123,2,Marina,POINT (-122.43872912835617 37.79601489333257),100,14,4,6,13,17,9,1,13,57,1,,,,14
B200052,01/03/2020,,,,,,2924 25th Street,94110,9,Mission,POINT (-122.40861418401924 37.75128325204458),100,53,3,2,20,19,4,7,2,28859,1,,,,53
B190586,03/25/2019,,,,,,308 Jersey Street,94114,8,Noe Valley,POINT (-122.43204860338643 37.75067381689941),100,84,3,5,22,22,4,5,2,28862,1,,,,84
B182751,10/01/2018,,,,,,925 Capp Street,94110,9,Mission,POINT (-122.41726123224902 37.75189865013781),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B173044,12/08/2017,02/26/2018,10000.00,,,2,426 Broadway Street,94133,3,North Beach,POINT (-122.40432770894826 37.7982257876357),89.04,106,6,3,23,23,1,10,3,308,2,,,,106
B172353,09/13/2017,11/21/2017,9000.00,,,3,129 Saturn Street,94114,8,Castro/Upper Market,POINT (-122.44351575661969 37.762583846552204),100,112,7,5,5,3,5,5,15,28862,1,,,,112
B191756,07/25/2019,,,,,,44 Forest Knolls Drive,94131,7,Inner Sunset,POINT (-122.45523125505464 37.75606124751173),100,111,7,8,14,12,5,4,1,63,1,,,,111
B170254,02/09/2017,06/19/2017,65000.00,,,2,676 Castro Street,94114,8,Castro/Upper Market,POINT (-122.43481739936973 37.75807351678898),100,115,3,5,5,3,4,5,2,28862,1,,,,115
B153301,11/25/2015,,,,,,664 27th Avenue,94121,1,Outer Richmond,POINT (-122.48659509325881 37.776875993478626),100,8,8,4,29,26,6,2,11,55,1,,,,8
B193170,11/12/2019,,,,,,733 40th Avenue,94121,1,Outer Richmond,POINT (-122.50055409760546 37.774941943371374),100,8,8,4,29,26,6,2,11,55,1,,,,8
B153325,12/01/2015,,,,,,1925 Ellis Street,94115,5,Western Addition,POINT (-122.43829969277441 37.78156881744206),100,97,4,11,39,41,5,11,15,29490,2,,,,97
B152278,08/25/2015,,,,,,77 Castle Street,94133,3,North Beach,POINT (-122.40527604983775 37.80070511690849),100,18,6,3,23,23,1,10,3,308,1,,,,18
B151072,,05/01/2015,47500.00,,,2,510 Diamond Street,94114,8,Noe Valley,POINT (-122.4366654834912 37.754174770652476),100,84,3,5,22,22,4,5,2,28862,1,,,,84
B190249,01/25/2019,07/09/2019,50000.00,,,1,1661 Bush Street,94109,2,Western Addition,POINT (-122.4245908142614 37.788103568621),100,100,4,6,39,41,9,1,13,28858,1,,,,100
B181232,04/19/2018,,,,,,200 Van Ness Avenue,94102,6,Tenderloin,POINT (-122.41963584920792 37.777297196530704),100,21,4,10,36,36,9,9,7,28852,2,1,,1,21
B183409,12/20/2018,03/11/2019,40000.00,,true,2,1900 33rd Avenue,94116,4,Sunset/Parkside,POINT (-122.49128501363428 37.75166240211977),100,39,10,7,35,35,8,3,1,29491,1,,,,39
B172515,09/29/2017,,,,,,1822 33rd Avenue,94122,4,Sunset/Parkside,POINT (-122.49138790536334 37.75313680860138),100,39,10,7,35,35,8,3,1,56,1,,,,39
B170850,03/28/2017,,,,,,120 Ellis Street,94102,3,Tenderloin,POINT (-122.40822013186153 37.78550718115183),100,19,5,3,36,36,10,10,14,28852,2,1,,,19
B182652,09/20/2018,,,,,,245 Silliman Street,94134,9,Portola,POINT (-122.40750943552902 37.730554246360796),100,91,2,2,25,28,3,7,10,309,2,,,,91
B151760,,07/13/2015,36205.00,,,4,227 Winfield Street,94110,9,Bernal Heights,POINT (-122.41902027789031 37.74182639522705),100,83,9,2,2,2,7,7,2,28859,1,,,,83
B180652,03/02/2018,04/25/2018,20762.77,,,1,3600 20th Street,94110,8,Mission,POINT (-122.42135669825858 37.75855420327713),100,37,3,5,20,19,4,5,2,28859,1,,,,37
B182169,07/19/2018,,,,,,1985 Fulton Street,94117,5,Lone Mountain/USF,POINT (-122.4494491450569 37.7753738365182),100,24,7,11,18,16,5,11,15,29492,1,,,,24
