Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B181025,03/29/2018,,,,,,390 Liberty Street,94114,8,Castro/Upper Market,POINT (-122.42991665374039 37.757276290900215),100,52,3,5,5,3,4,5,2,28862,1,,,,52
B191526,07/01/2019,,,,,,15 faxon Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.46030650969102 37.71673712228592),100,81,10,1,24,24,8,6,9,28861,2,,,,81
B163298,10/14/2016,,,,,,488 Flood Avenue,94112,7,West of Twin Peaks,POINT (-122.45086174146844 37.72993332825919),100,95,9,8,41,40,7,4,9,28861,1,,,,95
B172730,10/27/2017,,,,,,870 grove Street,94117,5,Hayes Valley,POINT (-122.43090177550192 37.776883449530445),100,22,4,11,9,10,9,11,7,29492,1,,,,22
B180431,02/12/2018,,,,,,82 Valparaiso Street,94133,3,Russian Hill,POINT (-122.41411503812554 37.80132251371195),100,107,6,3,32,32,1,10,3,308,1,,,,107
B160715,02/23/2016,09/06/2016,74959.92,,,2,73 Cook Street,94118,2,Presidio Heights,POINT (-122.45232563981445 37.78235225701381),100,11,8,6,31,31,6,1,15,54,1,,,,11
B151478,03/27/2015,06/12/2015,32500.00,,,2,829 Fillmore Street,94117,5,Hayes Valley,POINT (-122.43152276016774 37.77703664323652),100,23,4,11,9,10,9,11,15,29492,1,,,,23
B181987,07/02/2018,,,,,,36 Prague Street,94112,11,Excelsior,POINT (-122.42534673861644 37.72152040228019),100,90,9,1,7,5,7,6,9,28861,2,,,,90
B151752,07/10/2015,09/28/2015,20354.00,,true,5,1350 24th Avenue,94122,4,Sunset/Parkside,POINT (-122.4823602056878 37.762385249467265),100,39,10,7,35,35,8,3,1,56,1,,,,39
B162728,08/26/2016,,,,,,1535 15th Street,94103,9,Mission,POINT (-122.41831305327484 37.76671558664853),100,53,3,2,20,19,4,7,8,28853,2,,,,53
B163650,11/28/2016,,,,,,668 South Van ness Avenue,94110,9,Mission,POINT (-122.417309905114 37.76247801593009),100,53,3,2,20,19,4,7,8,28859,2,,,,53
B180199,01/23/2018,,,,,,44 Varennes Street,94133,3,North Beach,POINT (-122.40664015003688 37.800228516808176),100,106,6,3,23,23,1,10,3,308,2,,,,106
B182161,07/19/2018,,,,,,1591 Page Street,94117,5,Haight Ashbury,POINT (-122.44695525375943 37.77090750983085),100,25,7,11,3,9,5,11,15,29492,1,,,,25
B151225,05/15/2015,,,,,,817 Silliman Street,94134,9,Portola,POINT (-122.4131578453548 37.72907814288895),100,91,2,2,25,28,3,7,9,309,2,,,,91
B152465,09/04/2015,,,,,,437 Vermont Street,94107,10,Potrero Hill,POINT (-122.40439419952482 37.764192153935994),100,54,1,9,26,29,3,8,8,28856,1,,,,54
B182612,09/10/2018,,,,,,2703 Jackson Street,94115,2,Pacific Heights,POINT (-122.43957189138557 37.79178322579416),100,102,4,6,30,27,6,1,13,29490,1,,,,102
B172915,11/13/2017,02/21/2018,5563.48,,,2,617 Bosworth Street,94131,8,West of Twin Peaks,POINT (-122.4343344286437 37.733473216269836),100,96,9,5,41,40,7,5,9,63,1,,,,96
B181746,06/05/2018,08/02/2018,15261.92,,,2,206 3rd Avenue,94118,1,Inner Richmond,POINT (-122.4612692240433 37.78480115079666),100,5,8,4,11,11,6,2,11,54,1,,,,5
B153068,11/05/2015,02/03/2016,29500.00,,,6,2419 47th Avenue,94116,4,Sunset/Parkside,POINT (-122.50574667620151 37.74134174488473),100,39,10,7,35,35,8,3,1,29491,1,,,,39
B161804,05/20/2016,,,,,,270 Castro Street,94114,8,Castro/Upper Market,POINT (-122.43544486351726 37.76457973253481),100,113,7,5,5,3,5,5,15,28862,1,,,,113
B162283,07/07/2016,03/27/2017,99999.28,,,1,1815 15th Street,94103,8,Mission,POINT (-122.4245526068701 37.766338624938854),100,37,3,5,20,19,4,5,8,28853,2,,,,37
B171699,07/03/2017,,,,,,667 haight Street,94117,5,Haight Ashbury,POINT (-122.43318362676008 37.77170940179507),100,26,4,11,3,9,5,11,15,29492,1,,,,26
B191743,07/19/2019,,,,,,839 Clayton Street,94117,5,Haight Ashbury,POINT (-122.44794808709399 37.766279467484),100,29,7,11,3,9,5,11,15,29492,1,,,,29
B181224,04/18/2018,,,,,,12 Chenery Street,94131,8,Glen Park,POINT (-122.42586559079076 37.74184108437432),100,59,9,5,10,7,7,5,2,63,1,,,,59
B181937,06/26/2018,,,,,,3140 21st Street,94110,9,Mission,POINT (-122.41762644401311 37.75717291229616),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B171222,05/08/2017,08/30/2018,52090.66,,,1,1338 Stevenson Street,94103,6,Mission,POINT (-122.42176473346971 37.770962475981136),100,32,1,10,20,19,2,9,8,28853,2,,,,32
B162479,07/27/2016,11/01/2016,54859.24,,,2,1400 35th Avenue,94122,4,Sunset/Parkside,POINT (-122.4940799919924 37.76089690760211),100,39,10,7,35,35,8,3,1,56,1,,,,39
B180639,03/02/2018,,,,,,2441 20th Avenue,94116,4,Sunset/Parkside,POINT (-122.47679121237701 37.742233173074005),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B170842,03/28/2017,12/18/2017,60000.00,,true,1,120 Ellis Street,94102,3,Tenderloin,POINT (-122.40822013186153 37.78550718115183),100,19,5,3,36,36,10,10,14,28852,2,1,,,19
B161598,05/10/2016,11/01/2016,97050.00,,,5,563 38TH Avenue,94121,1,Outer Richmond,POINT (-122.49865739053743 37.778254906105325),100,8,8,4,29,26,6,2,11,55,1,,,,8
B160838,03/02/2016,07/11/2016,52400.00,,,1,523 Chestnut Street,94133,3,North Beach,POINT (-122.41210794868489 37.803849602855834),100,106,6,3,23,23,1,10,3,308,1,,,,106
B153317,,11/30/2015,55000.00,,,2,2029 Powell Street,94133,3,North Beach,POINT (-122.41152759016816 37.80330747885201),100,106,6,3,23,23,1,10,3,308,1,,,,106
B190161,01/28/2019,03/12/2019,29814.52,,,1,354 Crescent Avenue,94110,9,Bernal Heights,POINT (-122.41768995246429 37.73488081464712),100,61,9,2,2,2,7,7,2,28859,1,,,,61
B162722,08/22/2016,,,,,,2726 22nd Street,94110,9,Mission,POINT (-122.409021178454 37.75608408865814),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B190458,02/25/2019,04/26/2019,11239.92,,true,3,430 Green Street,94133,3,North Beach,POINT (-122.40638892023064 37.7998930107231),100,106,6,3,23,23,1,10,3,308,2,,,,106
B181423,05/07/2018,05/21/2018,7000.00,,,2,45 Belvedere Street,94117,5,Haight Ashbury,POINT (-122.44964030892017 37.76923625392733),100,25,7,11,3,9,5,11,15,29492,1,,,,25
B162045,06/10/2016,,,,,,23 Liebig Street,94112,11,Outer Mission,POINT (-122.45603869593894 37.7083531268658),100,66,9,1,28,25,7,6,9,28861,2,,,,66
B172069,08/10/2017,,,,,,378 23rd Avenue,94121,1,Outer Richmond,POINT (-122.48256753959691 37.780626299401504),100,8,8,4,29,26,6,2,11,55,2,,,,8
B180040,01/02/2018,,,,,,184 Cambridge Street,94134,9,Excelsior,POINT (-122.41958925537156 37.72936777561829),100,92,9,2,7,5,7,7,9,309,2,,,,92
B162798,09/06/2016,,,,,,2393 Folsom Street,94110,9,Mission,POINT (-122.41464755057828 37.759045386622596),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B151359,06/01/2015,08/13/2015,44500.00,,,5,771 Pine Street,94108,3,Nob Hill,POINT (-122.40852067655534 37.79109763066679),100,16,6,3,21,21,1,10,5,28857,1,,,,16
B171244,05/10/2017,08/07/2017,155000.00,,true,2,3587 20th Street,94110,9,Mission,POINT (-122.42096914599632 37.758467447164215),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B163791,12/07/2016,,,,,,3681 17th Street,94114,8,Castro/Upper Market,POINT (-122.428097948005 37.762865939244115),100,37,3,5,5,3,4,5,8,28862,1,,,,37
B180115,01/16/2018,04/25/2018,52122.80,,,2,1851 14th Avenue,94122,7,Inner Sunset,POINT (-122.47126250900217 37.753419290555854),100,44,10,8,14,12,8,4,1,56,1,,,,44
B171590,06/15/2017,,,,,,1114 Lake Street,94118,2,Inner Richmond,POINT (-122.47130810184403 37.7864381719002),100,4,8,6,11,11,6,1,11,54,1,,,,4
B152842,,10/13/2015,31250.00,,,1,1015 Pierce Street,94115,5,Western Addition,POINT (-122.43535193379037 37.77929042633646),100,97,4,11,39,41,5,11,15,29490,2,,,,97
B182063,07/13/2018,,,,,,1690 beach Street,94123,2,Marina,POINT (-122.43708587055643 37.804431021041836),100,17,4,6,13,17,9,1,13,57,1,,,,17
B172955,11/27/2017,03/19/2018,24000.00,,,1,326 sweeny Street,94134,9,Portola,POINT (-122.41156882563895 37.73193527135435),100,91,2,2,25,28,3,7,9,309,2,,,,91
B170166,01/25/2017,,,,,,245 Eureka Street,94114,8,Castro/Upper Market,POINT (-122.43798731452942 37.75837761657181),100,115,3,5,5,3,4,5,2,28862,1,,,,115
B193191,12/09/2019,,,,,,689 Fell Street,94102,5,Hayes Valley,POINT (-122.42916153248581 37.77508782693408),100,22,4,11,9,10,9,11,7,28852,1,,,,22
B172938,11/17/2017,,,,,,1276 Geneva Avenue,94112,11,Excelsior,POINT (-122.4349956626445 37.71356034287422),100,58,9,1,7,5,7,6,9,28861,2,,,,58
B181292,04/20/2018,,,,,,368 30th Avenue,94121,1,Outer Richmond,POINT (-122.49021760026446 37.78237593840975),100,8,8,4,29,26,6,2,11,55,2,,,,8
B173111,12/14/2017,,,,,,3933 Mission Street,94112,9,Bernal Heights,POINT (-122.42513590048794 37.73482100104347),100,93,9,2,2,2,7,7,2,28861,1,,,,93
B170612,03/07/2017,,,,,,1433 Jackson Street,94109,3,Russian Hill,POINT (-122.41866702514116 37.794446142845395),100,16,6,3,32,32,1,10,5,28858,1,,,,16
B170853,03/28/2017,10/13/2017,35000.00,,,1,722 Duboce Avenue,94117,8,Haight Ashbury,POINT (-122.43540460644701 37.76914323211676),100,28,7,5,3,9,5,5,15,29492,1,,,,28
B172522,10/02/2017,11/22/2017,6300.00,,,1,1636 48th Avenue,94122,4,Sunset/Parkside,POINT (-122.50769978214392 37.75590777959545),100,39,10,7,35,35,8,3,1,56,1,,,,39
B190746,04/01/2019,06/11/2019,24000.00,,,2,312 Francisco Street,94133,3,North Beach,POINT (-122.41039711406096 37.80512753221211),100,106,6,3,23,23,1,10,3,308,2,,,,106
B161861,05/31/2016,,,,,,500 STANYAN Street,94117,5,Lone Mountain/USF,POINT (-122.45422401632787 37.77288017612751),100,24,7,11,18,16,5,11,15,29492,1,,,,24
B172370,09/13/2017,05/14/2018,63824.09,,true,1,1574 church Street,94131,8,Noe Valley,POINT (-122.42693897077432 37.745699830439634),100,84,9,5,22,22,7,5,2,63,1,,,,84
B162922,09/13/2016,,,,,,309 5th Avenue,94118,1,Inner Richmond,POINT (-122.46341791073027 37.782786145563875),100,5,8,4,11,11,6,2,11,54,1,,,,5
B161204,03/28/2016,10/05/2016,27811.84,,,2,3080 Jackson Street,94115,2,Pacific Heights,POINT (-122.44580894360305 37.791100737412314),100,102,8,6,30,27,6,1,13,29490,1,,,,102
B191157,05/20/2019,,,,,,1062 Geneva Avenue,94112,11,Excelsior,POINT (-122.43848985596003 37.715127609718664),100,58,9,1,7,5,7,6,9,28861,2,,,,58
B191489,06/20/2019,11/12/2019,31000.00,,,3,2752 Harrison Street,94110,9,Mission,POINT (-122.41205150807441 37.7533843102404),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B161317,04/13/2016,,,,,,2460 Larkin Street,94109,2,Russian Hill,POINT (-122.42093683192971 37.800479693583206),100,107,6,6,32,32,9,1,5,28858,1,,,,107
B181730,06/01/2018,,,,,,355 21st Avenue,94121,1,Outer Richmond,POINT (-122.48059595228762 37.78115541472736),100,8,8,4,29,26,6,2,11,55,2,,,,8
B172001,08/07/2017,,,,,,230 Lee Avenue,94112,7,Oceanview/Merced/Ingleside,POINT (-122.45405353938514 37.72236675811336),100,64,10,8,24,24,8,4,9,28861,2,,,,64
B181418,05/04/2018,10/09/2018,10000.00,,true,1,790 46th Avenue,94121,1,Outer Richmond,POINT (-122.5067799373647 37.77361444763219),100,8,8,4,29,26,6,2,11,55,1,,,,8
B190022,01/04/2019,,,,,,1829 Judah Street,94122,4,Sunset/Parkside,POINT (-122.48160838968414 37.76144766035511),100,39,10,7,35,35,8,3,1,56,1,,,,39
B160286,02/02/2016,,,,,,990 Bay Street,94109,2,Russian Hill,POINT (-122.42331668395826 37.80443618138521),100,98,6,6,32,32,1,1,5,28858,1,,,,98
B162208,06/29/2016,,,,,,2538 35th Avenue,94116,4,Sunset/Parkside,POINT (-122.49259886614253 37.73970162731099),100,40,10,7,35,35,8,3,1,29491,1,,,,40
B180428,02/09/2018,,,,,,925 Divisadero Street,94115,5,Western Addition,POINT (-122.43854586706524 37.77802217909835),100,97,7,11,39,41,5,11,15,29490,1,,,,97
B160894,03/07/2016,03/11/2016,40000.00,,,3,558 17th Avenue,94118,1,Outer Richmond,POINT (-122.47588908617722 37.777470908653484),100,5,8,4,29,26,6,2,11,54,1,,,,5
B163167,09/26/2016,11/21/2016,30000.00,,,2,139 Gladeview Way,94131,7,Twin Peaks,POINT (-122.45055022033557 37.751881395265734),100,48,7,8,38,38,5,4,1,63,1,,,,48
B180256,01/30/2018,04/16/2018,40000.00,,true,3,99 cragmont Avenue,94116,7,Inner Sunset,POINT (-122.46732554432002 37.749088899769276),100,44,10,8,14,12,8,4,1,29491,1,,,,44
B162288,07/07/2016,11/21/2016,35000.00,,,2,1849 24th Avenue,94122,4,Sunset/Parkside,POINT (-122.48185051443853 37.75309190809361),100,39,10,7,35,35,8,3,1,56,1,,,,39
B152074,,08/07/2015,,true,,2,2140 Pacific Avenue,94115,2,Pacific Heights,POINT (-122.4305085134322 37.79394949442518),100,102,4,6,30,27,9,1,13,29490,1,,,,102
B163932,12/27/2016,06/02/2017,29500.00,,,3,590 south van ness Avenue,94110,9,Mission,POINT (-122.41743106782992 37.76374439336693),100,53,3,2,20,19,4,7,8,28859,2,,,,53
B170322,02/13/2017,05/03/2017,30000.00,,,1,500 Oak Street,94102,5,Hayes Valley,POINT (-122.42761951181447 37.77444143839259),100,22,4,11,9,10,9,11,7,28852,1,,,,22
B180811,03/19/2018,,,,,,333 28th Avenue,94121,1,Outer Richmond,POINT (-122.48825514689388 37.78311139675113),100,8,8,4,29,26,6,2,11,55,2,,,,8
B161417,04/22/2016,07/14/2016,15000.00,,true,1,78 Buchanan Street,94102,8,Hayes Valley,POINT (-122.42667160248398 37.7704069040536),100,27,7,5,9,10,9,5,7,28852,1,,,,27
B182502,08/20/2018,11/15/2018,16000.00,,,1,25 Saint Charles Avenue,94132,11,Oceanview/Merced/Ingleside,POINT (-122.46926357817105 37.7135087922525),100,65,10,1,24,24,8,6,9,64,2,,,,65
B172080,08/14/2017,,,,,,422 Monterey Boulevard,94127,7,West of Twin Peaks,POINT (-122.44486856111364 37.7316632263363),100,95,9,8,41,40,7,4,9,59,1,,,,95
B161216,03/28/2016,,,,,,2174 CALIFORNIA Street,94115,2,Pacific Heights,POINT (-122.43014695393087 37.78943812476725),100,102,4,6,30,27,9,1,13,29490,1,,,,102
B170743,03/22/2017,,,,,,2942 Franklin Street,94123,2,Marina,POINT (-122.42621031496532 37.801531744531076),100,17,4,6,13,17,9,1,13,57,1,,,,17
B191767,07/26/2019,,,,,,205 Collins Street,94118,1,Lone Mountain/USF,POINT (-122.45015506852396 37.7820195801756),100,12,8,4,18,16,6,2,15,54,1,,,,12
B172294,09/06/2017,11/29/2017,50000.00,,,2,4505 18th Street,94114,8,Castro/Upper Market,POINT (-122.4394623465682 37.76056960838393),100,115,3,5,5,3,4,5,2,28862,1,,,,115
B153061,11/03/2015,,,,,,1841 19th Street,94107,10,Potrero Hill,POINT (-122.40066070393688 37.76099488014637),100,54,2,9,26,29,3,8,10,28856,1,,,,54
B190896,04/25/2019,07/17/2019,11634.00,,,1,701 Mangels Avenue,94127,7,West of Twin Peaks,POINT (-122.45344266686406 37.7329887738557),100,70,9,8,41,40,7,4,9,59,1,,,,70
B161522,04/28/2016,04/28/2016,50000.00,,,3,70 Pearl Street,94103,8,Mission,POINT (-122.42394197132396 37.77018146384974),100,27,1,5,20,19,2,5,8,28853,2,,,,27
B191255,06/05/2019,,,,,,1290 Grove Street,94117,5,Hayes Valley,POINT (-122.43783557704725 37.77600725848153),100,23,4,11,9,10,5,11,15,29492,1,,,,23
B192456,09/26/2019,11/19/2019,15000.00,,,1,4252 21st Street,94114,8,Castro/Upper Market,POINT (-122.43836995171264 37.75554354228799),100,115,3,5,5,3,4,5,2,28862,1,,,,115
B182622,09/11/2018,,,,,,3661 19th Street,94110,8,Mission,POINT (-122.42490287224477 37.759841777570365),100,37,3,5,20,19,4,5,2,28859,1,,,,37
B172058,08/09/2017,,,,,,759 6th Avenue,94118,1,Inner Richmond,POINT (-122.46388376838665 37.774347673392356),100,5,8,4,11,11,6,2,11,54,1,,,,5
B172960,11/29/2017,,,,,,1229 Vallejo Street,94109,3,Russian Hill,POINT (-122.41752254635476 37.79743014407236),100,107,6,3,32,32,1,10,5,28858,1,,,,107
B200313,,,,,,,2753 Bryant Street,94110,9,Mission,POINT (-122.40884140493873 37.75036376327879),100,53,3,2,20,19,4,7,2,28859,1,,,,53
B162179,06/22/2016,,,,,,862 York Street,94110,9,Mission,POINT (-122.40879170249389 37.7582681959366),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B190883,04/22/2019,,,,,,459 30th Avenue,94121,1,Outer Richmond,POINT (-122.49023454138556 37.780642447701126),100,8,8,4,29,26,6,2,11,55,2,,,,8
B162727,08/24/2016,,,,,,2047 Polk Street,94109,3,Russian Hill,POINT (-122.42175168982801 37.79545621036955),100,105,4,3,32,32,9,10,13,28858,1,,,,105
B151892,07/16/2015,,,,,,5032 Mission Street,94112,11,Outer Mission,POINT (-122.44000195701358 37.71798619292828),100,80,9,1,28,25,7,6,9,28861,2,,,,80
B160220,01/25/2016,,,,,,2219 Bryant Street,94110,9,Mission,POINT (-122.4096571950258 37.7589312276146),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B181990,07/03/2018,,,,,,2705 Jackson Street,94115,2,Pacific Heights,POINT (-122.43960386969889 37.791779157022006),100,102,4,6,30,27,6,1,13,29490,1,,,,102
B152797,10/08/2015,,,,,,1129 Union Street,94109,3,Russian Hill,POINT (-122.41783844627014 37.79930596686496),100,107,6,3,32,32,1,10,5,28858,1,,,,107
B162048,06/10/2016,,,,,,23 Liebig Street,94112,11,Outer Mission,POINT (-122.45603869593894 37.7083531268658),100,66,9,1,28,25,7,6,9,28861,2,,,,66
B152272,08/21/2015,12/01/2015,75690.00,,,1,2641 Mission Street,94110,9,Mission,POINT (-122.41862825461988 37.75478403253012),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B172740,10/31/2017,,,,,,3620 18th Street,94110,8,Mission,POINT (-122.42431619373338 37.7615951307951),100,37,3,5,20,19,4,5,8,28859,1,,,,37
B191920,08/07/2019,,,,,,562 Filbert Street,94133,3,North Beach,POINT (-122.40874830485177 37.80151055312781),100,106,6,3,23,23,1,10,3,308,1,,,,106
B151374,06/02/2015,08/11/2015,14000.00,,true,2,1755 11th Avenue,94122,7,Inner Sunset,POINT (-122.4679432245179 37.7554690076044),100,44,10,8,14,12,8,4,1,56,1,,,,44
B182913,10/16/2018,01/07/2019,51604.00,,,2,1542 46th Avenue,94122,4,Sunset/Parkside,POINT (-122.5056841340484 37.75775962036785),100,39,10,7,35,35,8,3,1,56,1,,,,39
B162480,07/01/2016,08/30/2016,14880.00,,,2,434 Moscow Street,94112,11,Excelsior,POINT (-122.4281303534322 37.72074010588314),100,90,9,1,7,5,7,6,9,28861,2,,,,90
B181591,05/18/2018,,,,,,1801 Greenwich Street,94123,2,Marina,POINT (-122.42934181756198 37.7997325722144),100,15,4,6,13,17,9,1,13,57,1,,,,15
B182203,07/19/2018,,,,,,643 Webster Street,94117,5,Hayes Valley,POINT (-122.42978015894327 37.77660766218735),100,22,4,11,9,10,9,11,7,29492,1,,,,22
B153480,12/28/2015,12/28/2015,15000.00,,,3,886 Alabama Street,94110,9,Mission,POINT (-122.41152912051952 37.757717659201596),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B171103,04/25/2017,06/05/2018,50000.00,,,2,556 Sanchez Street,94114,8,Castro/Upper Market,POINT (-122.43056792189519 37.76024010118432),100,52,3,5,5,3,4,5,2,28862,1,,,,52
B180666,03/08/2018,06/01/2018,15000.00,,true,2,370 Melrose Avenue,94127,7,West of Twin Peaks,POINT (-122.45048352827808 37.733863943494875),100,72,9,8,41,40,7,4,9,59,1,,,,72
B172614,10/17/2017,06/03/2019,48145.00,,,1,4005 California Street,94118,1,Inner Richmond,POINT (-122.46038296939277 37.785480009050325),100,5,8,4,11,11,6,2,11,54,1,,,,5
B162062,06/16/2016,,,,,,445 O’Farrell Street,,,,,,,,,,,,,,,,,,,
B181405,05/01/2018,,,,,,3882 17TH Street,94114,8,Castro/Upper Market,POINT (-122.43259815959078 37.76270026767359),100,38,3,5,5,3,4,5,15,28862,1,,,,38
B163877,12/22/2016,,,,,,3039 california Street,94115,2,Presidio Heights,POINT (-122.44440605585172 37.787515450508664),100,103,8,6,31,31,6,1,13,29490,1,,,,103
B180906,03/19/2018,05/23/2018,7500.00,,,1,2415 Van Ness Avenue,94123,2,Marina,POINT (-122.42400399148609 37.79773306122588),100,15,4,6,13,17,9,1,13,57,1,,,,15
B171922,07/26/2017,,,,,,401 Parker Avenue,94118,1,Lone Mountain/USF,POINT (-122.45374262766039 37.77901371137835),100,12,7,4,18,16,6,2,15,54,1,,,,12
B183328,,12/11/2018,16000.00,,,1,251 Tocoloma Avenue,94134,10,Bayview Hunters Point,POINT (-122.39795007050296 37.711927395218595),100,89,2,9,1,1,3,8,10,309,1,,,,89
B183216,11/19/2018,02/07/2019,60000.00,,,2,1264 Page Street,94117,5,Haight Ashbury,POINT (-122.44162737252599 37.77170431680374),100,112,7,11,3,9,5,11,15,29492,1,,,,112
B152265,08/19/2015,11/24/2015,105733.32,,,4,1165 Shotwell Street,94110,9,Mission,POINT (-122.41485999971962 37.749816453341936),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B170169,01/25/2017,05/22/2017,87500.00,,,1,249 Eureka Street,94114,8,Castro/Upper Market,POINT (-122.43798143520772 37.75831615453037),100,115,3,5,5,3,4,5,2,28862,1,,,,115
B190970,04/26/2019,,,,,,232 Warren Drive,94131,7,Inner Sunset,POINT (-122.46052756167961 37.75398704346998),100,111,7,8,14,12,5,4,1,63,1,,,,111
B183236,11/28/2018,,,,,,646 Ellis Street,94109,6,Tenderloin,POINT (-122.41686662676514 37.78440757020144),100,20,5,10,36,36,10,9,7,28858,2,1,,,20
B182593,,09/05/2018,27000.00,,,1,73 Alpha Street,94134,10,Visitacion Valley,POINT (-122.40322826687165 37.714875385111995),100,75,9,9,40,39,7,8,10,309,2,,,,75
B180350,02/02/2018,,,,,,189 College Avenue,94110,8,Bernal Heights,POINT (-122.42495683919829 37.73532763867127),100,93,9,5,2,2,7,5,2,28859,1,,,,93
B172150,08/21/2017,,,,,,584 Mississippi Street,94107,10,Potrero Hill,POINT (-122.39432943076714 37.75904934478811),100,54,2,9,26,29,3,8,10,28856,2,,,,54
B200094,01/15/2020,,,,,,481 greenwich Street,94133,3,North Beach,POINT (-122.40767530940626 37.80249093919347),100,18,6,3,23,23,1,10,3,308,1,,,,18
B151895,,07/16/2015,25874.00,,true,4,1515 Baker Street,94115,2,Presidio Heights,POINT (-122.44329495236747 37.78497605291631),100,103,8,6,31,31,6,1,15,29490,1,,,,103
B150597,03/17/2015,12/11/2015,54000.00,,,2,186 Valley Street,94131,8,Noe Valley,POINT (-122.42643281816518 37.74457722915001),100,84,9,5,22,22,7,5,2,63,1,,,,84
B170993,04/10/2017,,,,,,750 Guerrero Street,94110,8,Mission,POINT (-122.4236928197777 37.75914077272072),100,37,3,5,20,19,4,5,2,28859,1,,,,37
B163631,11/17/2016,07/20/2017,30000.00,,,4,325 Rolph Street,94112,11,Excelsior,POINT (-122.43607436875955 37.713357294270786),100,58,9,1,7,5,7,6,9,28861,2,,,,58
B182154,07/16/2018,,,,,,1716 anza Street,94118,1,Inner Richmond,POINT (-122.466500814245 37.779044880845255),100,5,8,4,11,11,6,2,11,54,1,,,,5
B173042,12/07/2017,06/27/2018,80000.00,,true,4,2944 24th Street,94110,9,Mission,POINT (-122.4108840274084 37.75275046639034),100,53,3,2,20,19,4,7,2,28859,1,,,,53
B163173,09/27/2016,,,,,,1178 Alabama Street,94110,9,Mission,POINT (-122.41107977332837 37.753040915041915),100,53,3,2,20,19,4,7,2,28859,1,,,,53
B170189,02/01/2017,,,,,,138 Hyde Street,94102,6,Tenderloin,POINT (-122.41552450464798 37.782035111231714),100,20,5,10,36,36,10,9,7,28852,2,1,,1,20
B193062,10/31/2019,10/31/2019,8500.00,,,1,105 robinhood Drive,94127,7,West of Twin Peaks,POINT (-122.45696807811123 37.73689634450111),100,117,9,8,41,40,7,4,9,59,1,,,,117
B172805,11/07/2017,,,,,,255 14th Street,94103,9,Mission,POINT (-122.41901631005072 37.76828260530158),100,53,3,2,20,19,4,7,8,28853,2,,,1,53
B152001,07/31/2015,,,,,,894 Guerrero Street,94110,8,Mission,POINT (-122.42344902493463 37.756834378264664),100,52,3,5,20,19,4,5,2,28859,1,,,,52
B190325,02/13/2019,04/01/2019,30000.00,,,1,56 Mason Street,94102,6,Tenderloin,POINT (-122.40915591543965 37.78387638561761),100,19,5,10,36,36,10,9,14,28852,2,1,,1,19
B161397,04/18/2016,07/22/2016,10000.00,,,1,79 Bradford Street,94110,9,Bernal Heights,POINT (-122.40940322466204 37.741788756657094),100,83,9,2,2,2,7,7,10,28859,1,,,,83
B182646,09/19/2018,06/03/2019,88000.00,,,3,1227 40th Avenue,94122,4,Sunset/Parkside,POINT (-122.49980502333482 37.76392625263637),100,39,10,7,35,35,8,3,1,56,1,,,,39
B162469,07/25/2016,09/16/2016,32900.00,,true,2,1465 Oakdale Avenue,94124,10,Bayview Hunters Point,POINT (-122.38787209856008 37.733114176573444),100,86,2,9,1,1,3,8,10,58,2,,,,86
B200049,01/03/2020,,,,,,935 Alabama Street,94110,9,Mission,POINT (-122.41131455483774 37.756925130911156),100,53,3,2,20,19,4,7,2,28859,2,,,,53
B153262,11/20/2015,,,,,,25 Barcelona Avenue,94115,2,Lone Mountain/USF,POINT (-122.44447286531877 37.779881349676224),100,13,7,6,18,16,5,1,15,29490,1,,,,13
B182186,07/19/2018,,,,,,1637 Sacramento Street,94109,3,Nob Hill,POINT (-122.41984389628452 37.79157659180777),100,105,4,3,21,21,9,10,13,28858,1,,,,105
B183313,12/07/2018,,,,,,355 Fulton Street,94102,5,Hayes Valley,POINT (-122.42261279737785 37.77879278413421),100,21,4,11,9,10,9,11,7,28852,1,,,1,21
B172355,09/13/2017,,,,,,1046 Pacific Avenue,94133,3,Nob Hill,POINT (-122.41244535447518 37.79626161097084),100,107,6,3,21,21,1,10,3,308,1,,,,107
B152998,10/29/2015,12/18/2015,7000.00,,,2,43 Harrington Street,94112,11,Outer Mission,POINT (-122.43527425243175 37.72551557343719),100,94,9,1,28,25,7,6,9,28861,1,,,,94
