,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  One race  White,Median income (dollars)  Estimate  One race  Black or African American,Median income (dollars)  Estimate  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  One race  Asian,Median income (dollars)  Estimate  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  One race  Some other race,Median income (dollars)  Estimate  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
141,"Census Tract 309, San Francisco County, California",140213,140684,71442,-,138531,150385,-,-,147344,139464,100809,162487,141540,75642
142,"Census Tract 310, San Francisco County, California",97222,109500,74572,-,95372,-,121563,108693,102045,111477,-,120670,108494,53654
143,"Census Tract 311, San Francisco County, California",106490,103413,77163,-,116944,-,65078,28929,66484,116333,16920,137643,86711,94250
144,"Census Tract 312.01, San Francisco County, California",68531,95446,39712,-,70909,-,31712,30900,37955,95357,25800,100144,70827,45116
145,"Census Tract 312.02, San Francisco County, California",75972,125259,54549,-,72019,-,-,235263,126418,91875,-,90313,79353,29406
146,"Census Tract 313.01, San Francisco County, California",82530,91838,31250,-,130324,-,-,"2,500-",73583,90441,9167,81118,131577,35625
147,"Census Tract 313.02, San Francisco County, California",69278,55568,55877,-,76273,-,152781,78594,66875,55636,19208,76818,75179,47604
148,"Census Tract 314, San Francisco County, California",57015,77064,58341,"2,500-",55344,-,41780,44944,56528,101522,47208,53343,64612,43804
149,"Census Tract 326.01, San Francisco County, California",71806,60467,67273,-,87635,-,63021,136250,78984,56910,23977,68875,86518,24632
150,"Census Tract 326.02, San Francisco County, California",61293,55000,-,"2,500-",76985,-,-,-,43088,61905,25833,60469,81302,51250
151,"Census Tract 327, San Francisco County, California",85482,106159,-,-,60341,-,-,98971,74468,109881,33191,112045,86359,55110
152,"Census Tract 328.01, San Francisco County, California",69271,79522,-,-,67933,-,-,"2,500-",-,79522,20375,80525,68333,44879
153,"Census Tract 328.02, San Francisco County, California",70278,61875,"2,500-",-,90123,-,-,18705,63162,61250,19107,129107,60507,43795
154,"Census Tract 329.01, San Francisco County, California",73313,81477,-,-,72064,-,-,99213,147639,81818,54323,113074,74458,35658
