,Estimate  Total  Population 25 years and over  Less than 9th grade,"Estimate  Total  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Total  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Total  Population 25 years and over  Some college, no degree",Estimate  Total  Population 25 years and over  Associate's degree,Estimate  Total  Population 25 years and over  Bachelor's degree,Estimate  Total  Population 25 years and over  Graduate or professional degree,Estimate  Total  Population 25 years and over  High school graduate or higher,Estimate  Total  Population 25 years and over  Bachelor's degree or higher,Estimate  Percent  Population 25 years and over  Less than 9th grade,"Estimate  Percent  Population 25 years and over  9th to 12th grade, no diploma",Estimate  Percent  Population 25 years and over  High school graduate (includes equivalency),"Estimate  Percent  Population 25 years and over  Some college, no degree",Estimate  Percent  Population 25 years and over  Associate's degree,Estimate  Percent  Population 25 years and over  Bachelor's degree,Estimate  Percent  Population 25 years and over  Graduate or professional degree,Estimate  Percent  Population 25 years and over  High school graduate or higher,Estimate  Percent  Population 25 years and over  Bachelor's degree or higher,Name,tract,geometry
29,24,24,167,196,162,1602,1364,3491,2966,0.7,0.7,4.7,5.5,4.6,45.3,38.5,98.6,83.8,"Census Tract 127, San Francisco County, California",127.0,"POLYGON ((-122.448241130218 37.8072521685356, -122.439690935158 37.8086811541357, -122.441909 37.807316, -122.441905 37.803744, -122.441754 37.802985, -122.441368 37.801126, -122.441177 37.80019, -122.447466 37.79939, -122.44782 37.801633, -122.449179 37.802074, -122.448241130218 37.8072521685356))"
30,113,113,217,319,71,1745,1125,3477,2870,3.1,3.1,5.9,8.6,1.9,47.1,30.4,93.9,77.5,"Census Tract 128, San Francisco County, California",128.0,"POLYGON ((-122.447466 37.79939, -122.441177 37.80019, -122.436274 37.800814, -122.435678 37.798021, -122.437326 37.797811, -122.43695 37.795949, -122.438591 37.795741, -122.440234 37.795533, -122.446728 37.794706, -122.447015 37.796579, -122.447303 37.798459, -122.447466 37.79939))"
31,15,0,114,109,63,1333,745,2364,2078,0.6,0.0,4.8,4.6,2.6,56.0,31.3,99.4,87.3,"Census Tract 129.01, San Francisco County, California",129.01,"POLYGON ((-122.430045 37.803518, -122.425209 37.804133, -122.424835 37.802268, -122.424464 37.800402, -122.42929 37.799788, -122.429667 37.801654, -122.430045 37.803518))"
32,2,33,232,289,90,1625,845,3081,2470,0.1,1.1,7.4,9.3,2.9,52.2,27.1,98.9,79.3,"Census Tract 129.02, San Francisco County, California",129.02,"POLYGON ((-122.436799 37.802715, -122.431679 37.803267, -122.430045 37.803518, -122.429667 37.801654, -122.42929 37.799788, -122.424464 37.800402, -122.424275 37.799472, -122.427457 37.799067, -122.430747 37.798648, -122.432393 37.79843899999999, -122.434036 37.79823, -122.435678 37.798021, -122.436274 37.800814, -122.436799 37.802715))"
33,16,56,59,342,79,2496,931,3907,3427,0.4,1.4,1.5,8.6,2.0,62.7,23.4,98.2,86.1,"Census Tract 130, San Francisco County, California",130.0,"POLYGON ((-122.437326 37.797811, -122.435678 37.798021, -122.434036 37.79823, -122.432393 37.79843899999999, -122.430747 37.798648, -122.427457 37.799067, -122.424275 37.799472, -122.423705 37.796678, -122.426893 37.79627199999999, -122.430183 37.795854, -122.433469 37.795435, -122.435113 37.795226, -122.43695 37.795949, -122.437326 37.797811))"
34,0,20,175,214,87,1783,1220,3479,3003,0.0,0.6,5.0,6.1,2.5,51.0,34.9,99.4,85.8,"Census Tract 131.01, San Francisco County, California",131.01,"POLYGON ((-122.426893 37.79627199999999, -122.423705 37.796678, -122.423481 37.795739, -122.423283 37.79481, -122.423143 37.793923, -122.422801 37.792161, -122.422611 37.791277, -122.425802 37.790874, -122.426335 37.793517, -122.426893 37.79627199999999))"
35,0,34,64,209,61,1332,881,2547,2213,0.0,1.3,2.5,8.1,2.4,51.6,34.1,98.7,85.7,"Census Tract 131.02, San Francisco County, California",131.02,"POLYGON ((-122.430183 37.795854, -122.426893 37.79627199999999, -122.426335 37.793517, -122.425802 37.790874, -122.422611 37.791277, -122.42242 37.790358, -122.425616 37.789952, -122.428905 37.789534, -122.42927 37.791339, -122.429625 37.793098, -122.430183 37.795854))"
36,0,0,33,170,68,1598,1629,3498,3227,0.0,0.0,0.9,4.9,1.9,45.7,46.6,100.0,92.3,"Census Tract 132, San Francisco County, California",132.0,"POLYGON ((-122.446728 37.794706, -122.440234 37.795533, -122.438591 37.795741, -122.43695 37.795949, -122.435113 37.795226, -122.433469 37.795435, -122.430183 37.795854, -122.429625 37.793098, -122.434558 37.792472, -122.436204 37.792263, -122.437846 37.792054, -122.439488 37.791843, -122.446117 37.790999, -122.4463 37.791879, -122.446728 37.794706))"
37,108,13,269,241,82,1420,1354,3366,2774,3.1,0.4,7.7,6.9,2.4,40.7,38.8,96.5,79.6,"Census Tract 133, San Francisco County, California",133.0,"POLYGON ((-122.459476 37.789711, -122.45274 37.790974, -122.4463 37.791879, -122.446117 37.790999, -122.445934 37.790119, -122.445758 37.789248, -122.445589 37.788364, -122.445402 37.787438, -122.450118 37.786838, -122.454774 37.786244, -122.45505 37.786209, -122.459179 37.785682, -122.459388 37.788405, -122.459476 37.789711))"
38,27,76,83,259,101,1495,1270,3208,2765,0.8,2.3,2.5,7.8,3.1,45.2,38.4,96.9,83.5,"Census Tract 134, San Francisco County, California",134.0,"POLYGON ((-122.446117 37.790999, -122.439488 37.791843, -122.437846 37.792054, -122.436204 37.792263, -122.435849 37.790502, -122.435486 37.788697, -122.438773 37.788278, -122.440488 37.788061, -122.443753 37.787647, -122.445402 37.787438, -122.445589 37.788364, -122.445758 37.789248, -122.445934 37.790119, -122.446117 37.790999))"
