,2010,2011,2012,2013,2014,2015,2016,2017,2018,diff18-10
332.03,0.34799114204365705,0.39015606242497,0.31209362808842656,0.2331002331002331,0.2543881963876876,0.30495552731893266,0.23741690408357075,0.5865921787709497,0.07900974453515934,-0.2689813975084977
260.04,0.3288700963119568,0.39360963185922665,0.449034575662326,0.31625553447185323,0.6440532417346501,0.4187437686939182,0.3858651502843217,0.21812413246083678,0.059868289762522446,-0.26900180654943434
260.01,0.5365178262374524,0.4972565157750343,0.4708754795953959,0.7766272189349113,0.6791483113069016,0.6259780907668232,0.7456363328249449,0.7407407407407408,0.26586905948820205,-0.2706487667492503
158.02,0.36114120621162876,0.2959674435812061,0.7290400972053462,1.088101088101088,0.45823052520267893,0.32456994482310936,0.27100271002710025,0.2567027952082145,0.09033423667570009,-0.27080696953592864
313.01,0.35952747817154596,0.19636720667648502,0.4386977603324867,0.34322137778867373,0.3208801283520513,0.21767522855899,0.2903730176457449,0.18194223334091425,0.08869179600886917,-0.2708356821626768
451,0.34843205574912894,0.25800903031606104,0.18672199170124482,0.14681208053691275,0.19790223629527012,0.22159548751007255,0.0785391714117416,0.17513134851138354,0.075046904315197,-0.27338515143393194
111,0.7571107018620831,0.8744656043528954,1.0782747603833864,1.1161558834657586,1.063410791650256,1.153846153846154,1.0234205864987207,1.259289843104872,0.4813729593972373,-0.2757377424648458
155,0.5594745803940646,0.6612410986775178,1.2244897959183674,0.9393247017009393,0.8933129147524248,0.7431874483897605,0.6299643933168995,0.5882352941176471,0.28312570781426954,-0.27634887257979507
154,0.37756202804746497,0.360555255092843,0.3404255319148936,0.43793161529391944,0.40492660705247174,0.2631578947368421,0.17854244440837527,0.2892632295388804,0.10050251256281408,-0.2770595154846509
452,0.2933909820877085,0.33370411568409347,0.23463851004546118,0.23792862141357596,0.17401392111368907,0.12398401983744317,0.25949194209232446,0.32335160972866583,0.014465499783017505,-0.27892548230469094
311,0.3692657292998154,0.391330523780855,0.5095923261390888,0.29535209078190583,0.1969100272644653,0.2267230955259976,0.29048656499636893,0.35682426404995543,0.0869691259602841,-0.28229660333953127
179.02,0.38517091959557054,0.08695652173913043,0.39984006397441024,0.07535795026375283,0.2594875121634771,0.2823972387825541,0.22653721682847897,0.31959092361776925,0.09791122715404699,-0.28725969244152355
109,0.33609679587721264,0.21910604732690622,0.16764459346186086,0.3500328155764603,0.27426160337552746,0.48511576626240355,0.5172026085001125,0.24341668510732464,0.044345898004434586,-0.2917508978727781
118,0.56657223796034,0.34802784222737815,0.5504587155963303,0.7743362831858407,0.5172413793103449,0.8631319358816275,0.7682458386683738,0.6418485237483954,0.2708192281651997,-0.29575300979514024
134,0.3747657713928795,0.17391304347826086,0.1856763925729443,0.19257221458046767,0.15120967741935484,0.09935419771485346,0.2,0.12403870007442323,0.07731958762886598,-0.2974461837640135
167,0.38338658146964855,0.342949364535001,0.5563015538077882,0.6945863125638407,0.38306451612903225,0.4590027122887545,0.16450750565494549,0.4368546465448769,0.07655502392344497,-0.30683155754620356
156,0.395825836631882,0.20639834881320948,0.1997336884154461,0.3258508327299059,0.26533996683250416,0.24074631357207343,0.1832620647525962,0.1854140914709518,0.08741258741258741,-0.3084132492192946
259,0.44277175116227585,0.36380172805820826,0.2824858757062147,0.44943820224719105,0.40040040040040037,0.2588844433984467,0.377945753668297,0.3879926485603431,0.12476606363069245,-0.3180056875315834
262,0.4678684464015412,0.33409060537217694,0.23268546400218998,0.3780471907182897,0.24151519003432056,0.4518461141234186,0.2867944205449094,0.4099410709710479,0.1450613213767638,-0.3228071250247774
227.04,0.38486209108402825,0.36798528058877644,0.45234248788368336,0.532748354747728,0.24140012070006037,0.4,0.4983875696276752,0.4160475482912333,0.060661207158022444,-0.3242008839260058
166,0.595581171950048,0.7437854766099041,0.6935332708528584,1.0108175208370278,0.9030160736861116,1.0607168983174835,0.8017103153393906,0.9504060825989286,0.2686727565824825,-0.3269084153675655
256,0.3872557648301355,0.2789886660854403,0.454624934429096,0.46664362253715863,0.4302617425600574,0.424929178470255,0.19985465116279072,0.18171906232963836,0.055524708495280406,-0.3317310563348551
329.02,0.33222591362126247,0.13220518244315177,0.1083717149823896,0.21164021164021166,0.1251564455569462,0.16416510318949346,0.1568451714093659,0.11304544426859599,0.0,-0.33222591362126247
210,0.44326241134751776,0.5115089514066496,0.5794302269435055,0.5001087192868015,0.3292361720807726,0.21910604732690622,0.281507145950628,0.37228541882109617,0.10656436487638535,-0.33669804647113244
233,0.5535055350553505,0.5782312925170068,0.8620689655172413,0.7175660160734788,0.8613008613008613,1.1808576755748912,0.9678426475179519,0.7290755322251385,0.20254629629629628,-0.3509592387590542
310,0.49382716049382713,0.3037667071688943,0.3515968356284793,0.6280331144733086,0.3472222222222222,0.24496461622210125,0.4165509580672035,0.23690444853908924,0.14204545454545456,-0.35178170594837255
110,0.40223854494578526,0.25220680958385877,0.3995433789954338,0.3558085749866572,0.24514425796718836,0.5113077679449362,0.5061155630535639,0.2605732611745841,0.041736227045075125,-0.36050231790071013
128,0.575,0.6018054162487462,0.5847953216374269,0.6689684937419077,0.3463732681336593,0.44851794071762874,0.43905498641020285,0.3588011819333052,0.20288548241659152,-0.3721145175834084
229.02,0.7945106536655833,0.4967520061138708,0.8376545672118069,0.741962077493817,0.9349593495934959,0.43188064389477815,0.5899705014749262,0.7316134000770119,0.42226487523992323,-0.37224577842566003
254.01,0.7509062661833248,0.7758381823219729,0.8831908831908831,0.7180851063829787,0.7758877946881528,0.8763977032336053,0.7171117705242335,0.6233517142172141,0.37583892617449666,-0.37506734000882813
121,0.7550886408404465,1.2665862484921593,1.3031161473087818,1.1363636363636365,1.2641898864809082,0.931286181726655,0.6653019447287616,0.86164451009355,0.3748125937031484,-0.38027604713729807
153,0.42714760322733747,0.5228136882129277,0.3147482014388489,0.8207934336525308,0.6292352371732818,0.37365716954694067,0.13428827215756492,0.40723981900452494,0.044722719141323794,-0.38242488408601366
228.01,0.8995173321632294,0.7191201353637902,1.0743061772605194,0.9663865546218487,0.8420208500400962,1.1614623000761615,1.3452065176203107,1.1938071255362805,0.5030355594102341,-0.39648177275299523
264.02,0.4464285714285714,0.19083969465648853,0.41560840452551373,0.45205805377111585,0.4332129963898917,0.18152938506920807,0.06337135614702154,0.33203125,0.03872966692486445,-0.40769890450370694
252,0.44551698533506595,0.2898550724637681,0.2601456815816858,0.3114725731095345,0.268591572939399,0.4034969737726967,0.290846877673225,0.24100533654673784,0.036989088218975404,-0.40852789711609055
352.02,0.4977375565610859,0.2821180555555555,0.2646669607410675,0.08766162612316458,0.2856515051637003,0.3937869175235178,0.3870967741935484,0.3868865811443698,0.08064516129032258,-0.41709239527076336
