,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
10,"Census Tract 111, San Francisco County, California",105561,113796,170556,-,55232,-,-,159348,129931,113148,142813,139474,55911,27197,2018,111.0,"POLYGON ((-122.422801 37.792161, -122.416113 37.793014, -122.415936 37.792133, -122.41575 37.791206, -122.415559 37.790254, -122.415372 37.78932, -122.422077 37.788474, -122.422237 37.789399, -122.42242 37.790358, -122.422611 37.791277, -122.422801 37.792161))"
11,"Census Tract 112, San Francisco County, California",113214,128500,"250,000+",-,62305,-,-,132222,110329,128750,113182,147188,80114,83750,2018,112.0,"POLYGON ((-122.416292 37.793892, -122.415218 37.79402899999999, -122.411364 37.794527, -122.409722 37.794737, -122.409541 37.793852, -122.409171 37.792043, -122.412461 37.791627, -122.41575 37.791206, -122.415936 37.792133, -122.416113 37.793014, -122.416292 37.793892))"
12,"Census Tract 113, San Francisco County, California",37991,91250,-,-,21439,-,-,86288,-,96667,-,95139,52404,14962,2018,113.0,"POLYGON ((-122.411719 37.796291, -122.408431 37.796704, -122.408253 37.795824, -122.407903 37.79406, -122.407536 37.792249, -122.409171 37.792043, -122.409541 37.793852, -122.409722 37.794737, -122.411364 37.794527, -122.411719 37.796291))"
13,"Census Tract 117, San Francisco County, California",63958,89722,-,-,53750,-,38571,-,49028,93988,-,74972,47292,-,2018,117.0,"POLYGON ((-122.408786 37.79016, -122.407149 37.790366, -122.40734 37.791296, -122.407536 37.792249, -122.404418 37.792639, -122.404613 37.793565, -122.400149 37.794134, -122.396586 37.794588, -122.396315 37.793337, -122.399195 37.791058, -122.406062 37.785757, -122.407451 37.784604, -122.407853 37.785492, -122.408227 37.787359, -122.408402 37.788293, -122.408786 37.79016))"
14,"Census Tract 118, San Francisco County, California",29338,135417,-,-,24643,-,-,126875,-,136875,-,96071,24464,18587,2018,118.0,"POLYGON ((-122.407903 37.79406, -122.404796 37.794453, -122.404613 37.793565, -122.404418 37.792639, -122.407536 37.792249, -122.407903 37.79406))"
15,"Census Tract 119.01, San Francisco County, California",97109,96250,-,-,123375,-,-,-,95052,92639,-,126047,73500,47875,2018,119.01,"POLYGON ((-122.41575 37.791206, -122.412461 37.791627, -122.412266 37.790673, -122.412076 37.78973999999999, -122.415372 37.78932, -122.415559 37.790254, -122.41575 37.791206))"
16,"Census Tract 119.02, San Francisco County, California",84167,81131,-,-,105175,-,66667,110000,66528,82639,87813,96250,92823,29722,2018,119.02,"POLYGON ((-122.412461 37.791627, -122.409171 37.792043, -122.407536 37.792249, -122.40734 37.791296, -122.407149 37.790366, -122.408786 37.79016, -122.412076 37.78973999999999, -122.412266 37.790673, -122.412461 37.791627))"
17,"Census Tract 120, San Francisco County, California",48113,50326,43480,-,41705,-,-,-,49440,50942,-,49914,51380,-,2018,120.0,"POLYGON ((-122.422077 37.788474, -122.415372 37.78932, -122.415185 37.788388, -122.414995 37.787454, -122.418271 37.787038, -122.421461 37.786632, -122.421858 37.787535, -122.422077 37.788474))"
18,"Census Tract 121, San Francisco County, California",72806,74297,-,-,75469,-,-,-,-,74414,40096,84318,65789,29282,2018,121.0,"POLYGON ((-122.415372 37.78932, -122.412076 37.78973999999999, -122.408786 37.79016, -122.408402 37.788293, -122.411699 37.787872, -122.413354 37.787664, -122.414995 37.787454, -122.415185 37.788388, -122.415372 37.78932))"
19,"Census Tract 122.01, San Francisco County, California",66563,64500,-,-,-,-,99607,-,89052,68526,14099,94759,43971,20867,2018,122.01,"POLYGON ((-122.418271 37.787038, -122.414995 37.787454, -122.414617 37.785582, -122.41443 37.784657, -122.416072 37.784449, -122.417707 37.784236, -122.417901 37.785167, -122.418271 37.787038))"
20,"Census Tract 122.02, San Francisco County, California",35970,48750,-,-,33378,-,46750,-,52878,45694,20781,77702,30769,14417,2018,122.02,"POLYGON ((-122.421461 37.786632, -122.418271 37.787038, -122.417901 37.785167, -122.417707 37.784236, -122.421069 37.783816, -122.421256 37.784745, -122.421461 37.786632))"
21,"Census Tract 123.01, San Francisco County, California",23371,18056,-,-,24318,-,36595,-,35431,14858,-,35994,17321,14070,2018,123.01,"POLYGON ((-122.414617 37.785582, -122.41297 37.78579, -122.411326 37.785996, -122.411516 37.78694, -122.408227 37.787359, -122.407853 37.785492, -122.41114 37.785075, -122.412782 37.784866, -122.41443 37.784657, -122.414617 37.785582))"
22,"Census Tract 123.02, San Francisco County, California",43493,54432,-,-,39358,-,73750,-,64722,43214,41510,72031,34537,23977,2018,123.02,"POLYGON ((-122.414995 37.787454, -122.413354 37.787664, -122.411699 37.787872, -122.408402 37.788293, -122.408227 37.787359, -122.411516 37.78694, -122.411326 37.785996, -122.41297 37.78579, -122.414617 37.785582, -122.414995 37.787454))"
23,"Census Tract 124.01, San Francisco County, California",24511,32688,11095,-,31591,-,56446,40775,56181,19042,-,66083,13690,16500,2018,124.01,"POLYGON ((-122.417707 37.784236, -122.416072 37.784449, -122.41443 37.784657, -122.414242 37.783724, -122.414054 37.782794, -122.413866 37.781863, -122.415505 37.781654, -122.417146 37.781447, -122.417339 37.782379, -122.417707 37.784236))"
24,"Census Tract 124.02, San Francisco County, California",61736,55284,17772,-,116563,-,-,62206,-,62466,-,104922,50000,16250,2018,124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
25,"Census Tract 125.01, San Francisco County, California",22150,20857,13804,-,25208,-,-,-,26029,20599,-,26250,21682,12750,2018,125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
26,"Census Tract 125.02, San Francisco County, California",14976,-,23456,-,14602,-,-,-,50176,12842,-,33316,-,11864,2018,125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
27,"Census Tract 126.01, San Francisco County, California",143000,150129,-,-,111875,-,-,-,138281,151595,-,161667,138705,-,2018,126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
28,"Census Tract 126.02, San Francisco County, California",139063,143917,-,-,94688,-,-,-,84896,144750,-,157566,146023,46705,2018,126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
29,"Census Tract 127, San Francisco County, California",133641,134103,-,-,-,-,-,-,-,134973,-,151597,158355,63913,2018,127.0,"POLYGON ((-122.448241130218 37.8072521685356, -122.439690935158 37.8086811541357, -122.441909 37.807316, -122.441905 37.803744, -122.441754 37.802985, -122.441368 37.801126, -122.441177 37.80019, -122.447466 37.79939, -122.44782 37.801633, -122.449179 37.802074, -122.448241130218 37.8072521685356))"
30,"Census Tract 128, San Francisco County, California",154917,157056,-,-,-,-,-,-,108000,158958,-,162163,172500,41346,2018,128.0,"POLYGON ((-122.447466 37.79939, -122.441177 37.80019, -122.436274 37.800814, -122.435678 37.798021, -122.437326 37.797811, -122.43695 37.795949, -122.438591 37.795741, -122.440234 37.795533, -122.446728 37.794706, -122.447015 37.796579, -122.447303 37.798459, -122.447466 37.79939))"
31,"Census Tract 129.01, San Francisco County, California",150625,149934,-,-,148295,-,189167,-,192955,149539,-,189271,147656,71250,2018,129.01,"POLYGON ((-122.430045 37.803518, -122.425209 37.804133, -122.424835 37.802268, -122.424464 37.800402, -122.42929 37.799788, -122.429667 37.801654, -122.430045 37.803518))"
32,"Census Tract 129.02, San Francisco County, California",128407,129955,-,-,71957,-,-,-,129196,129732,172576,170000,110333,73047,2018,129.02,"POLYGON ((-122.436799 37.802715, -122.431679 37.803267, -122.430045 37.803518, -122.429667 37.801654, -122.42929 37.799788, -122.424464 37.800402, -122.424275 37.799472, -122.427457 37.799067, -122.430747 37.798648, -122.432393 37.79843899999999, -122.434036 37.79823, -122.435678 37.798021, -122.436274 37.800814, -122.436799 37.802715))"
33,"Census Tract 130, San Francisco County, California",161397,161324,-,-,-,-,-,163254,-,162553,-,172569,123953,84118,2018,130.0,"POLYGON ((-122.437326 37.797811, -122.435678 37.798021, -122.434036 37.79823, -122.432393 37.79843899999999, -122.430747 37.798648, -122.427457 37.799067, -122.424275 37.799472, -122.423705 37.796678, -122.426893 37.79627199999999, -122.430183 37.795854, -122.433469 37.795435, -122.435113 37.795226, -122.43695 37.795949, -122.437326 37.797811))"
34,"Census Tract 131.01, San Francisco County, California",146932,155744,-,-,139900,-,-,51103,-,155952,-,186100,102353,42132,2018,131.01,"POLYGON ((-122.426893 37.79627199999999, -122.423705 37.796678, -122.423481 37.795739, -122.423283 37.79481, -122.423143 37.793923, -122.422801 37.792161, -122.422611 37.791277, -122.425802 37.790874, -122.426335 37.793517, -122.426893 37.79627199999999))"
35,"Census Tract 131.02, San Francisco County, California",162045,192813,-,-,122955,-,-,159125,134653,186667,-,181875,151094,63333,2018,131.02,"POLYGON ((-122.430183 37.795854, -122.426893 37.79627199999999, -122.426335 37.793517, -122.425802 37.790874, -122.422611 37.791277, -122.42242 37.790358, -122.425616 37.789952, -122.428905 37.789534, -122.42927 37.791339, -122.429625 37.793098, -122.430183 37.795854))"
36,"Census Tract 132, San Francisco County, California",188844,200032,-,-,137333,-,-,-,"250,000+",190078,-,201186,136693,198646,2018,132.0,"POLYGON ((-122.446728 37.794706, -122.440234 37.795533, -122.438591 37.795741, -122.43695 37.795949, -122.435113 37.795226, -122.433469 37.795435, -122.430183 37.795854, -122.429625 37.793098, -122.434558 37.792472, -122.436204 37.792263, -122.437846 37.792054, -122.439488 37.791843, -122.446117 37.790999, -122.4463 37.791879, -122.446728 37.794706))"
37,"Census Tract 133, San Francisco County, California",162500,185083,-,-,124500,-,-,158750,86250,212589,-,182667,227375,83992,2018,133.0,"POLYGON ((-122.459476 37.789711, -122.45274 37.790974, -122.4463 37.791879, -122.446117 37.790999, -122.445934 37.790119, -122.445758 37.789248, -122.445589 37.788364, -122.445402 37.787438, -122.450118 37.786838, -122.454774 37.786244, -122.45505 37.786209, -122.459179 37.785682, -122.459388 37.788405, -122.459476 37.789711))"
38,"Census Tract 134, San Francisco County, California",170729,171198,30708,-,184423,-,-,228750,-,171198,176458,203462,205536,-,2018,134.0,"POLYGON ((-122.446117 37.790999, -122.439488 37.791843, -122.437846 37.792054, -122.436204 37.792263, -122.435849 37.790502, -122.435486 37.788697, -122.438773 37.788278, -122.440488 37.788061, -122.443753 37.787647, -122.445402 37.787438, -122.445589 37.788364, -122.445758 37.789248, -122.445934 37.790119, -122.446117 37.790999))"
39,"Census Tract 135, San Francisco County, California",132750,154688,-,-,125169,-,129545,-,126875,159000,127083,147740,134125,95972,2018,135.0,"POLYGON ((-122.436204 37.792263, -122.434558 37.792472, -122.429625 37.793098, -122.42927 37.791339, -122.428905 37.789534, -122.43384 37.788906, -122.435486 37.788697, -122.435849 37.790502, -122.436204 37.792263))"
40,"Census Tract 151, San Francisco County, California",99706,108167,-,-,82899,-,-,154875,101544,108292,95938,141958,83355,63611,2018,151.0,"POLYGON ((-122.425616 37.789952, -122.42242 37.790358, -122.422237 37.789399, -122.422077 37.788474, -122.421858 37.787535, -122.421461 37.786632, -122.421256 37.784745, -122.422838 37.784547, -122.424678 37.785291, -122.424704 37.785418, -122.425047 37.78713, -122.425616 37.789952))"
41,"Census Tract 152, San Francisco County, California",91493,93750,-,-,181176,-,-,176645,-,92118,62650,176579,91042,23720,2018,152.0,"POLYGON ((-122.435486 37.788697, -122.43384 37.788906, -122.428905 37.789534, -122.425616 37.789952, -122.425047 37.78713, -122.428336 37.786713, -122.431635 37.786293, -122.434918 37.785876, -122.435486 37.788697))"
42,"Census Tract 153, San Francisco County, California",141750,157639,74342,-,143542,-,-,-,236484,150893,-,168750,151205,65000,2018,153.0,"POLYGON ((-122.443753 37.787647, -122.440488 37.788061, -122.438773 37.788278, -122.435486 37.788697, -122.434918 37.785876, -122.436557 37.785668, -122.438206 37.785459, -122.443183 37.784827, -122.44337 37.785759, -122.443753 37.787647))"
43,"Census Tract 154, San Francisco County, California",125651,125130,-,-,113750,-,-,248750,-,126615,160607,157321,93242,75980,2018,154.0,"POLYGON ((-122.459179 37.785682, -122.45505 37.786209, -122.454774 37.786244, -122.450118 37.786838, -122.445402 37.787438, -122.443753 37.787647, -122.44337 37.785759, -122.443183 37.784827, -122.44281 37.782971, -122.442793 37.782885, -122.445826 37.782512, -122.447302 37.782392, -122.454186 37.781651, -122.456304 37.78144899999999, -122.458878 37.781326, -122.458998 37.783189, -122.459179 37.785682))"
44,"Census Tract 155, San Francisco County, California",64412,126463,-,-,20193,-,-,-,111161,149673,-,126825,101979,20458,2018,155.0,"POLYGON ((-122.443183 37.784827, -122.438206 37.785459, -122.436557 37.785668, -122.434918 37.785876, -122.431635 37.786293, -122.428336 37.786713, -122.425047 37.78713, -122.424704 37.785418, -122.431291 37.784621, -122.434562 37.784152, -122.437863 37.783791, -122.438901 37.78344999999999, -122.44281 37.782971, -122.443183 37.784827))"
45,"Census Tract 156, San Francisco County, California",95000,106800,18438,-,58438,-,-,115972,91000,107981,-,176902,75208,29663,2018,156.0,"POLYGON ((-122.458878 37.781326, -122.456304 37.78144899999999, -122.454186 37.781651, -122.453385 37.77782699999999, -122.455217 37.777599, -122.454683 37.774755, -122.458371 37.774309, -122.458505 37.77619, -122.458878 37.781326))"
46,"Census Tract 157, San Francisco County, California",116923,137946,66250,-,92756,-,220952,93219,167351,120972,-,165329,112083,75861,2018,157.0,"POLYGON ((-122.455217 37.777599, -122.453385 37.77782699999999, -122.454186 37.781651, -122.447302 37.782392, -122.445826 37.782512, -122.442793 37.782885, -122.441512 37.782096, -122.440958 37.779364, -122.442053 37.779244, -122.441866 37.7783, -122.441488 37.776435, -122.44478 37.776017, -122.446471 37.775802, -122.448068 37.775599, -122.451358 37.775175, -122.454683 37.774755, -122.455217 37.777599))"
47,"Census Tract 158.01, San Francisco County, California",76689,107309,27175,-,64837,-,-,184013,-,127368,-,126625,75972,48125,2018,158.01,"POLYGON ((-122.44281 37.782971, -122.438901 37.78344999999999, -122.437863 37.783791, -122.434562 37.784152, -122.433973 37.781219, -122.433596 37.779355, -122.433407 37.778422, -122.436697 37.778006, -122.437072 37.779867, -122.440958 37.779364, -122.441512 37.782096, -122.442793 37.782885, -122.44281 37.782971))"
48,"Census Tract 158.02, San Francisco County, California",132540,133992,25833,-,156806,-,-,162857,128875,134536,"250,000+",163802,80139,19423,2018,158.02,"POLYGON ((-122.442053 37.779244, -122.440958 37.779364, -122.437072 37.779867, -122.436697 37.778006, -122.433407 37.778422, -122.433219 37.77749, -122.438244 37.776848, -122.441488 37.776435, -122.441866 37.7783, -122.442053 37.779244))"
49,"Census Tract 159, San Francisco County, California",79698,112401,-,-,93516,-,-,16042,69167,125529,175385,112667,77188,27083,2018,159.0,"POLYGON ((-122.434562 37.784152, -122.431291 37.784621, -122.424704 37.785418, -122.424678 37.785291, -122.424108 37.782477, -122.427396 37.782057, -122.430696 37.781635, -122.433973 37.781219, -122.434562 37.784152))"
50,"Census Tract 160, San Francisco County, California",71823,105439,13929,-,63977,-,-,-,-,105304,-,113846,78750,24661,2018,160.0,"POLYGON ((-122.424678 37.785291, -122.422838 37.784547, -122.421256 37.784745, -122.421069 37.783816, -122.420689 37.781955, -122.420358 37.780072, -122.423541 37.779674, -122.424108 37.782477, -122.424678 37.785291))"
51,"Census Tract 161, San Francisco County, California",22500,-,21318,-,19481,-,13824,27713,25417,-,-,50560,30489,17962,2018,161.0,"POLYGON ((-122.433973 37.781219, -122.430696 37.781635, -122.427396 37.782057, -122.424108 37.782477, -122.423541 37.779674, -122.423354 37.778747, -122.424998 37.778538, -122.426641 37.778329, -122.429929 37.777909, -122.433219 37.77749, -122.433407 37.778422, -122.433596 37.779355, -122.433973 37.781219))"
52,"Census Tract 162, San Francisco County, California",106313,108750,54063,-,123000,-,-,-,47107,129583,-,177361,53417,44375,2018,162.0,"POLYGON ((-122.426641 37.778329, -122.424998 37.778538, -122.423354 37.778747, -122.423541 37.779674, -122.420358 37.780072, -122.419765 37.777291, -122.419359 37.775432, -122.424246 37.774811, -122.425888 37.77459899999999, -122.426263 37.776464, -122.426641 37.778329))"
53,"Census Tract 163, San Francisco County, California",148365,136662,22054,-,179142,-,-,"250,000+",164191,136921,179132,196694,91250,-,2018,163.0,"POLYGON ((-122.433219 37.77749, -122.429929 37.777909, -122.426641 37.778329, -122.426263 37.776464, -122.425888 37.77459899999999, -122.429178 37.774181, -122.430825 37.773973, -122.432467 37.773757, -122.433219 37.77749))"
54,"Census Tract 164, San Francisco County, California",139262,171667,48523,-,127148,-,-,145938,109922,172361,"250,000+",186600,110357,47841,2018,164.0,"POLYGON ((-122.441488 37.776435, -122.438244 37.776848, -122.433219 37.77749, -122.432467 37.773757, -122.435751 37.773346, -122.437469 37.773127, -122.440735 37.772713, -122.440922 37.773635, -122.441488 37.776435))"
55,"Census Tract 165, San Francisco County, California",132750,180192,-,-,-,-,108367,246111,109082,180343,180202,182250,183365,33510,2018,165.0,"POLYGON ((-122.454683 37.774755, -122.451358 37.775175, -122.448068 37.775599, -122.446471 37.775802, -122.44478 37.776017, -122.441488 37.776435, -122.440922 37.773635, -122.444216 37.773212, -122.447497 37.77279, -122.450787 37.772368, -122.454083 37.77193, -122.454683 37.774755))"
56,"Census Tract 166, San Francisco County, California",143594,145903,-,-,162701,-,-,-,98529,151920,146016,150313,99773,-,2018,166.0,"POLYGON ((-122.453902 37.771054, -122.4506 37.77146, -122.445717 37.77208, -122.440735 37.772713, -122.440358 37.770847, -122.443312 37.77047, -122.442765 37.769661, -122.44839 37.768865, -122.450522 37.768593, -122.453352 37.768246, -122.453902 37.771054))"
57,"Census Tract 167, San Francisco County, California",174081,190521,-,-,140294,-,-,134375,-,199565,-,197292,176313,-,2018,167.0,"POLYGON ((-122.443866 37.767536, -122.443356 37.768944, -122.442765 37.769661, -122.443312 37.77047, -122.440358 37.770847, -122.440735 37.772713, -122.437469 37.773127, -122.435751 37.773346, -122.432467 37.773757, -122.431904 37.770964, -122.43157 37.769307, -122.433572 37.769178, -122.435794 37.769058, -122.436588 37.769001, -122.438338 37.76900699999999, -122.439301 37.768166, -122.442009 37.765907, -122.442575 37.765928, -122.443533 37.766691, -122.443866 37.767536))"
58,"Census Tract 168.01, San Francisco County, California",111250,121250,25521,-,-,-,-,100000,91964,126250,-,156321,83409,30547,2018,168.01,"POLYGON ((-122.432467 37.773757, -122.430825 37.773973, -122.42899 37.773248, -122.428802 37.772316, -122.425512 37.772734, -122.424929 37.770778, -122.426402 37.769596, -122.42822 37.769441, -122.43157 37.769307, -122.431904 37.770964, -122.432467 37.773757))"
59,"Census Tract 168.02, San Francisco County, California",96071,112169,19167,-,-,-,73235,-,74743,137781,-,152500,73188,22500,2018,168.02,"POLYGON ((-122.429178 37.774181, -122.425888 37.77459899999999, -122.424246 37.774811, -122.419359 37.775432, -122.419334 37.77521, -122.422186 37.772909, -122.42262 37.772503, -122.423641 37.771828, -122.424929 37.770778, -122.425512 37.772734, -122.428802 37.772316, -122.42899 37.773248, -122.430825 37.773973, -122.429178 37.774181))"
60,"Census Tract 169, San Francisco County, California",115946,121875,-,-,102727,-,62727,-,81667,125924,-,187926,94250,72743,2018,169.0,"POLYGON ((-122.435794 37.769058, -122.433572 37.769178, -122.43157 37.769307, -122.42822 37.769441, -122.426402 37.769596, -122.426948 37.769175, -122.428635 37.767846, -122.428949 37.767504, -122.430824 37.766014, -122.435193 37.762727, -122.435472 37.765727, -122.435794 37.769058))"
61,"Census Tract 170, San Francisco County, California",185435,180378,-,-,201845,-,-,"250,000+",229583,179286,-,210977,206750,54113,2018,170.0,"POLYGON ((-122.446247 37.762247, -122.443538 37.765323, -122.443347 37.765333, -122.442575 37.765928, -122.442009 37.765907, -122.439301 37.768166, -122.438338 37.76900699999999, -122.436588 37.769001, -122.435794 37.769058, -122.435472 37.765727, -122.435193 37.762727, -122.435837 37.762485, -122.439491 37.762227, -122.440168 37.762187, -122.444196 37.761947, -122.446384 37.761816, -122.446247 37.762247))"
