,Geographic Area Name,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  White,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Black or African American,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  American Indian and Alaska Native,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Asian,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Native Hawaiian and Other Pacific Islander,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  One race--  Some other race,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  Two or more races,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  Hispanic or Latino origin (of any race),"Estimate  Median income (dollars)  HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER  Households  White alone, not Hispanic or Latino",Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Estimate  Median income (dollars)  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over
108,"Census Tract 121, San Francisco County, California",73521,75156,-,-,72938,-,-,-,28135,90551,45455,80278,74688,28782
109,"Census Tract 128, San Francisco County, California",151830,156538,-,-,137824,-,-,-,101118,161500,-,192717,192574,-
110,"Census Tract 155, San Francisco County, California",65536,99257,-,-,21667,-,-,-,108611,98287,-,123640,99430,28382
111,"Census Tract 161, San Francisco County, California",24041,29375,24309,-,20221,-,16176,25625,27159,31103,-,-,31083,18156
112,"Census Tract 163, San Francisco County, California",132742,133629,25926,-,207316,-,-,197500,139896,134476,-,177344,76042,30897
113,"Census Tract 176.01, San Francisco County, California",40878,46323,-,-,64472,-,-,-,-,48872,-,107239,23375,11495
114,"Census Tract 201, San Francisco County, California",46604,54833,11424,-,53071,-,24478,95729,31181,79375,13661,81944,31731,15538
115,"Census Tract 206, San Francisco County, California",141875,148239,10889,-,103594,-,-,198516,-,148977,-,186000,124412,61083
116,"Census Tract 209, San Francisco County, California",83523,98450,-,-,93239,-,37663,-,39980,139821,-,115938,39073,35385
117,"Census Tract 218, San Francisco County, California",137969,141366,200667,-,-,-,58750,79286,77589,142122,-,246071,114000,62500
118,"Census Tract 226, San Francisco County, California",195000,201161,103523,-,210313,-,-,-,105781,202500,-,205750,185750,106741
119,"Census Tract 231.02, San Francisco County, California",28618,148214,21185,-,77619,-,-,-,-,149107,-,20324,45714,-
120,"Census Tract 251, San Francisco County, California",148500,175568,78558,-,162679,-,-,-,91389,191691,-,197813,136771,76838
121,"Census Tract 170, San Francisco County, California",161563,156012,-,-,196985,-,-,224211,223618,154196,-,193750,194722,70577
122,"Census Tract 180, San Francisco County, California",156932,160714,31467,-,191250,-,-,115000,144375,168333,41650,191554,155341,31359
123,"Census Tract 215, San Francisco County, California",122857,131563,-,-,104306,-,-,-,-,130729,-,187806,109375,37955
124,"Census Tract 228.03, San Francisco County, California",114583,129938,-,-,104063,-,49792,158750,75179,130882,-,158661,67773,59722
125,"Census Tract 264.04, San Francisco County, California",54958,66458,-,-,61250,-,-,-,42708,78553,-,53393,55114,66250
126,"Census Tract 306, San Francisco County, California",155000,172159,-,-,134464,-,-,156607,127188,178125,-,"250,000+",160536,107614
127,"Census Tract 310, San Francisco County, California",131544,142650,-,-,130982,-,-,-,-,144650,-,181314,159205,77656
128,"Census Tract 332.01, San Francisco County, California",28750,32829,50313,-,26250,-,-,-,-,33355,-,51964,30917,26875
129,"Census Tract 111, San Francisco County, California",100500,104197,169605,-,24191,-,-,155700,156650,103814,111250,133214,86793,18261
130,"Census Tract 117, San Francisco County, California",52371,83984,-,-,45060,-,-,-,49679,91369,-,71991,46705,21667
131,"Census Tract 157, San Francisco County, California",111181,114125,118261,-,102868,-,216429,90777,178243,112361,-,130385,107639,74239
132,"Census Tract 217, San Francisco County, California",122875,154464,-,-,94519,-,-,-,30474,167171,-,186286,148472,64091
133,"Census Tract 228.02, San Francisco County, California",80385,90938,-,-,101667,-,63125,-,63214,132708,-,102083,72292,24375
134,"Census Tract 229.01, San Francisco County, California",72045,100962,-,-,148889,-,61250,-,63766,114583,-,82656,71496,31250
135,"Census Tract 229.02, San Francisco County, California",131571,180188,-,-,116000,-,94063,-,105714,180673,-,173333,94531,130298
136,"Census Tract 229.03, San Francisco County, California",113250,125385,-,-,91328,-,79946,"250,000+",78288,131058,-,131042,131250,41944
137,"Census Tract 230.03, San Francisco County, California",74113,122652,78299,-,73177,-,45465,-,60868,123750,-,87929,78993,60196
138,"Census Tract 264.03, San Francisco County, California",61131,64735,-,-,66083,-,45969,55809,70039,55556,-,70898,77031,24375
139,"Census Tract 302.01, San Francisco County, California",97039,107151,-,-,73958,-,-,107727,111563,106657,71484,120875,92368,54907
140,"Census Tract 303.02, San Francisco County, California",135143,129531,-,-,136321,-,-,-,131250,130833,-,156932,148125,100781
141,"Census Tract 304, San Francisco County, California",156786,175833,-,-,125313,-,206292,-,165625,193839,16779,174125,187414,80192
142,"Census Tract 103, San Francisco County, California",118210,146182,-,-,38934,-,-,-,-,146750,-,147045,-,71875
