,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year
91,"Census Tract 227.04, San Francisco County, California",185345,186767,-,-,158173,-,-,178542,178125,186250,112969,232604,193750,71563,2018
92,"Census Tract 228.01, San Francisco County, California",117368,182625,"2,500-",-,161548,-,54948,-,59531,185500,-,180938,86705,75208,2018
93,"Census Tract 228.02, San Francisco County, California",102750,138250,-,-,81438,-,64375,208750,63011,151813,-,143485,81188,36000,2018
94,"Census Tract 228.03, San Francisco County, California",123000,163152,-,-,106250,-,71731,132400,94972,180227,134643,190313,90764,73056,2018
95,"Census Tract 229.01, San Francisco County, California",91464,124239,11771,-,160500,-,77083,85714,82617,124457,118250,92107,103663,45357,2018
96,"Census Tract 229.02, San Francisco County, California",133239,185688,-,-,119625,-,100893,-,111477,187404,-,186875,95469,112292,2018
97,"Census Tract 229.03, San Francisco County, California",128750,142411,-,-,-,-,71938,"250,000+",71750,161875,-,150682,161500,56944,2018
98,"Census Tract 230.01, San Francisco County, California",70865,85125,39356,-,72404,-,-,56094,143447,83750,-,119050,68947,47679,2018
99,"Census Tract 230.03, San Francisco County, California",77365,125766,64042,-,75685,-,45202,-,58750,128173,-,90851,115833,50156,2018
100,"Census Tract 231.02, San Francisco County, California",31065,148917,19132,-,80385,88403,-,-,-,223250,-,28352,49722,-,2018
101,"Census Tract 231.03, San Francisco County, California",25871,63281,22154,-,31125,-,40185,25278,25472,64896,-,25407,40526,19522,2018
102,"Census Tract 232, San Francisco County, California",60345,-,42738,-,74444,-,72177,-,71774,-,-,76607,71250,44440,2018
103,"Census Tract 233, San Francisco County, California",58125,169167,11574,-,67589,-,-,-,-,190625,-,71250,59375,18359,2018
104,"Census Tract 234, San Francisco County, California",41724,76000,43500,-,-,-,47750,23125,46250,88000,-,32804,91650,27643,2018
105,"Census Tract 251, San Francisco County, California",153021,156250,-,-,168333,-,-,-,96842,182159,-,204107,144226,71250,2018
106,"Census Tract 252, San Francisco County, California",139444,137969,-,-,"250,000+",-,-,-,71630,146573,-,189250,153092,66107,2018
107,"Census Tract 253, San Francisco County, California",144583,180909,-,-,173636,-,46250,210326,49764,187500,"250,000+",205156,148295,54423,2018
108,"Census Tract 254.01, San Francisco County, California",122232,131346,-,-,172308,-,-,197212,-,140188,-,153867,111250,88542,2018
109,"Census Tract 254.02, San Francisco County, California",129405,150000,-,-,183304,-,40139,-,62931,150625,-,120625,149643,129000,2018
110,"Census Tract 254.03, San Francisco County, California",109118,132024,78864,-,109063,-,71217,-,71645,158194,-,202083,115833,60652,2018
111,"Census Tract 255, San Francisco County, California",114015,109732,-,-,116930,-,63234,"250,000+",89688,114792,-,129462,123239,62981,2018
112,"Census Tract 256, San Francisco County, California",85288,83864,-,-,90884,-,71250,100417,83438,84545,48958,113409,95300,51094,2018
113,"Census Tract 257.01, San Francisco County, California",98724,97202,-,-,112031,-,83676,-,86250,96548,-,125089,102578,53472,2018
114,"Census Tract 257.02, San Francisco County, California",65875,80568,-,-,68906,-,48542,-,49125,-,5993,67865,82045,57500,2018
115,"Census Tract 258, San Francisco County, California",91250,97619,-,-,90179,-,73594,103750,73906,98333,-,137500,85556,-,2018
116,"Census Tract 259, San Francisco County, California",113384,118098,42500,-,118162,-,-,-,128036,117772,-,154808,122885,61541,2018
117,"Census Tract 260.01, San Francisco County, California",74883,90833,-,-,74457,-,67554,-,71116,89821,-,94957,77120,49946,2018
118,"Census Tract 260.02, San Francisco County, California",100000,101429,61607,-,96607,-,87898,175521,88182,106538,-,95385,115156,65729,2018
119,"Census Tract 260.03, San Francisco County, California",81071,87054,-,-,65231,-,91985,73466,84659,114750,-,85268,100750,54879,2018
120,"Census Tract 260.04, San Francisco County, California",95655,158426,-,-,89050,-,-,231250,84318,135375,-,96081,114539,53789,2018
121,"Census Tract 261, San Francisco County, California",89917,77269,-,-,101375,-,55388,88833,68952,73854,53947,120000,99909,66842,2018
